offense_id,incident_id,offense_type_id,attempt_complete_flag,location_id,num_premises_entered,method_entry_code,ff_line_number
42967095,37626028,46,C,20,,,
42947017,37619285,51,C,20,,,
42967082,37625118,14,C,20,,,
42958706,37625130,45,C,23,,,
42948715,37625156,5,C,24,,,
42958730,37626068,45,C,2,,,
42958731,37626068,11,C,2,,,
42958988,37626079,46,C,20,,,
42961005,37625179,43,C,20,,,
42958977,37625187,45,C,6,,,
42956777,37626104,2,C,12,,,
42958741,37626111,46,C,20,,,
42958742,37626125,46,C,20,,,
42967119,37626140,2,C,5,,,
42958237,37625056,5,C,20,,,
42958694,37625058,23,C,8,,,
42786168,39311771,16,C,18,,,
42784228,39311772,5,C,18,,,
42777146,39311773,51,C,20,,,
42784229,39311774,36,C,20,,,
42786169,39311775,16,C,18,,,
42777147,39311776,35,C,13,,,
42777148,39311777,14,C,18,,,
42777149,39311777,5,C,18,,,
42791805,39311778,49,C,20,0,N,
42791806,39311778,5,C,20,,,
42784230,39311779,5,C,20,,,
42777150,39311780,51,C,20,,,
42777151,39311780,5,C,20,,,
42777152,39311781,51,C,20,,,
42791807,39311782,20,C,13,,,
42791808,39311783,14,C,18,,,
42791809,39311783,5,C,18,,,
42777153,39311784,7,C,18,,,
42777154,39311784,5,C,18,,,
42789903,39311785,7,C,13,,,
42789904,39311785,5,C,13,,,
42786310,39311786,44,C,20,,,
42786625,39311787,45,C,2,,,
42786626,39311787,11,C,2,,,
42786170,39311788,14,C,13,,,
42786171,39311788,5,C,13,,,
42786172,39311789,14,C,18,,,
42786173,39311789,5,C,18,,,
42789905,39311790,45,C,20,,,
42789906,39311791,44,C,20,,,
42786174,39311792,45,C,20,,,
42791810,39311793,45,C,20,,,
42786175,39311795,49,C,20,0,F,
42786176,39311795,5,C,20,,,
42786177,39311796,46,C,20,,,
42791811,39311797,21,C,18,,,
42784231,39311798,16,C,46,,,
42786311,39311799,5,C,20,,,
42784232,39311801,44,C,20,,,
42786627,39311802,20,C,20,,,
42789907,39311803,51,C,20,,,
42786628,39311805,21,C,18,,,
42786629,39311805,28,C,13,,,
42786178,39311806,45,C,20,,,
42786630,39311807,40,C,20,,,
42789908,39311808,11,C,8,,,
42786312,39311809,45,C,23,,,
42784233,39311810,51,C,22,,,
42791812,39311811,51,C,22,,,
42791813,39311812,49,C,20,0,N,
42777155,39311813,45,C,23,,,
42784234,39311814,23,C,8,,,
42789909,39311815,41,C,20,,,
42786179,39311816,45,C,20,,,
42789910,39311817,51,C,20,,,
42786631,39311818,5,C,18,,,
42777156,39311819,49,C,20,0,N,
42777157,39311819,5,C,20,,,
42791814,39311820,51,C,25,,,
42786180,39311821,45,C,20,,,
42789422,39311822,44,C,22,,,
42786313,39311823,51,C,13,,,
42786314,39311823,16,C,13,,,
42789911,39311824,44,C,20,,,
42789423,39311825,44,C,20,,,
42791815,39311826,5,C,20,,,
42789424,39311827,49,C,20,0,F,
42789425,39311827,5,C,20,,,
42786632,39311828,11,C,20,,,
42786633,39311828,2,C,12,,,
42789426,39311829,51,C,20,,,
42789427,39311829,5,C,20,,,
42786315,39311830,49,C,20,0,N,
42784235,39311831,5,C,13,,,
42791816,39311832,51,C,21,,,
42784236,39311834,7,C,20,,,
42784237,39311834,5,C,20,,,
42786181,39311835,5,C,20,,,
42789428,39311836,39,C,13,,,
42784238,39311837,51,C,20,,,
42784239,39311837,5,C,20,,,
42791817,39311838,51,C,20,,,
42789429,39311839,23,C,23,,,
42786634,39311840,51,C,20,,,
42786318,39311841,5,C,18,,,
42791818,39311842,40,C,23,,,
42786635,39311843,5,C,20,,,
42786182,39311844,45,C,2,,,
42786183,39311844,11,C,2,,,
42791819,39311845,51,C,22,,,
42784240,39311846,21,C,20,,,
42789430,39311847,51,C,20,,,
42789431,39311848,45,C,5,,,
42789432,39311849,14,C,20,,,
42791820,39311850,45,C,20,,,
42789433,39311851,36,C,20,,,
42784241,39311852,51,C,20,,,
42784242,39311852,16,C,20,,,
42784243,39311852,35,C,20,,,
42789912,39311853,16,C,20,,,
42789913,39311853,35,C,20,,,
42784244,39311854,21,C,18,,,
42786184,39311855,41,C,25,,,
42786185,39311856,45,C,20,,,
42793387,39314653,40,C,2,,,
42790365,39314654,40,A,23,,,
42786702,39314655,5,C,13,,,
42793388,39314656,51,C,21,,,
42787131,39314657,5,C,20,,,
42792626,39314658,16,C,13,,,
42786703,39314659,5,C,20,,,
42786704,39314660,51,C,46,,,
42790253,39314661,51,C,13,,,
42786705,39314662,5,C,20,,,
42792627,39314663,35,C,20,,,
42790254,39314664,35,C,13,,,
42793389,39314665,5,C,20,,,
42793390,39314666,45,C,5,,,
42790255,39314667,45,C,25,,,
42790256,39314668,49,C,20,0,N,
42786706,39314669,45,C,23,,,
42792628,39314670,14,C,23,,,
42792629,39314670,5,C,23,,,
42786707,39314671,14,C,18,,,
42787132,39314672,56,A,20,,,
42793391,39314673,7,C,23,,,
42793392,39314673,5,C,23,,,
42787133,39314674,14,C,18,,,
42787134,39314674,5,C,18,,,
42787007,39314676,5,C,25,,,
42787008,39314676,39,C,20,,,
42787464,39314710,45,C,23,,,
42793397,39314711,49,C,20,0,F,
42793398,39314711,21,C,20,,,
42792633,39314712,51,C,20,,,
42790264,39314713,16,C,18,,,
42787146,39314714,14,C,13,,,
42787147,39314715,14,C,20,,,
42787148,39314715,7,A,20,,,
42787149,39314715,5,C,20,,,
42792634,39314716,27,C,13,,,
42787465,39314717,45,C,20,,,
42787150,39314718,51,C,3,,,
42792635,39314719,7,C,18,,,
42792636,39314719,5,C,18,,,
42792637,39314720,51,C,3,,,
42792638,39314720,44,C,3,,,
42792639,39314721,51,C,20,,,
42792640,39314721,5,C,20,,,
42787015,39314722,14,C,18,,,
42787016,39314722,5,C,18,,,
42793399,39314723,7,C,13,,,
42793400,39314723,5,C,13,,,
42793401,39314724,49,C,13,0,F,
42793402,39314724,5,C,13,,,
42787151,39314725,45,C,20,,,
42787152,39314726,14,C,20,,,
42787153,39314727,51,C,13,,,
42787466,39314728,45,C,17,,,
42787467,39314728,11,C,17,,,
42787017,39314729,45,C,8,,,
42787018,39314729,11,C,8,,,
42787154,39314730,7,C,18,,,
42795097,39314730,5,C,18,,,
42793403,39314731,14,C,13,,,
42793404,39314731,5,C,13,,,
42787019,39314732,14,C,18,,,
42787020,39314732,5,C,18,,,
42790265,39314733,51,C,14,,,
42790371,39314734,49,C,20,0,F,
42790372,39314734,5,C,20,,,
42787021,39314735,49,C,20,0,F,
42787022,39314735,5,C,20,,,
42787468,39314736,11,C,12,,,
42787469,39314736,16,C,18,,,
42790266,39314737,45,C,8,,,
42790373,39314738,7,C,18,,,
42790374,39314738,5,C,18,,,
42792641,39314739,21,C,13,,,
42787470,39314740,45,C,21,,,
42787471,39314740,2,C,21,,,
42790375,39314741,5,C,13,,,
42792642,39314742,23,C,8,,,
42795098,39314743,45,C,8,,,
42792643,39314744,45,C,2,,,
42792644,39314744,11,C,2,,,
42792645,39314745,23,C,8,,,
42792646,39314745,5,C,8,,,
42790376,39314746,14,C,18,,,
42790377,39314746,5,C,18,,,
42795099,39314747,51,C,46,,,
42790378,39314748,44,C,25,,,
42787023,39314749,49,C,20,0,F,
42787024,39314749,5,C,20,,,
42787472,39314750,11,A,12,,,
42795100,39314751,49,C,20,0,N,
42792647,39314752,21,C,23,,,
42787025,39314753,23,C,24,,,
42787026,39314754,23,C,8,,,
42787027,39314755,46,C,14,,,
42792648,39314756,51,C,20,,,
42787028,39314757,51,C,21,,,
42790379,39314758,35,C,13,,,
42792649,39314759,45,C,8,,,
42793405,39314760,51,C,20,,,
42793406,39314760,5,C,20,,,
42793407,39314761,27,C,20,,,
42787029,39314762,7,C,25,,,
42787030,39314762,5,C,18,,,
42779052,39307831,49,C,5,0,N,
42779053,39307831,5,C,5,,,
42783009,39307832,51,C,20,,,
42783355,39307833,51,C,20,,,
42783010,39307834,49,C,20,0,N,
42776134,39307835,5,C,13,,,
42779192,39307836,45,C,5,,,
42779193,39307836,5,C,5,,,
42779054,39307837,5,C,18,,,
42776271,39307838,49,C,5,0,N,
42776272,39307838,5,C,5,,,
42783356,39307839,14,C,20,,,
42783357,39307839,5,C,20,,,
42783358,39307840,23,C,12,,,
42776135,39307841,14,C,18,,,
42776136,39307842,21,C,18,,,
42779055,39307843,45,C,24,,,
42776137,39307846,35,C,13,,,
42789003,39307848,23,C,12,,,
42789004,39307849,51,C,20,,,
42789005,39307849,39,C,20,,,
42779056,39307850,45,C,23,,,
42776273,39307851,51,C,20,,,
42776274,39307851,16,C,13,,,
42776138,39307852,51,C,22,,,
42783359,39307853,23,C,17,,,
42779194,39307854,23,A,7,,,
42789006,39307855,5,C,20,,,
42783360,39307856,27,C,13,,,
42776139,39307857,7,C,23,,,
42783361,39307858,49,C,6,0,F,
42783362,39307858,5,C,6,,,
42776275,39307859,51,C,20,,,
42783363,39307860,7,C,20,,,
42783364,39307860,5,C,20,,,
42779210,39307947,14,C,13,,,
42779211,39307947,5,C,13,,,
42789021,39307948,5,C,20,,,
42783378,39307949,51,C,20,,,
42779084,39307950,45,C,12,,,
42779085,39307950,11,C,12,,,
42783379,39307951,49,C,4,0,N,
42783380,39307951,5,C,4,,,
42779212,39307952,5,C,18,,,
42779086,39307953,51,C,14,,,
42779087,39307953,39,C,14,,,
42779088,39307954,40,C,13,,,
42776286,39307955,14,C,20,,,
42776287,39307955,5,C,20,,,
42779089,39307956,51,C,22,,,
42776288,39307957,45,C,20,,,
42789022,39307958,44,C,5,,,
42789023,39307958,45,C,5,,,
42779213,39307959,21,A,18,,,
42779214,39307959,5,C,18,,,
42783381,39307960,20,C,20,,,
42783382,39307960,7,C,20,,,
42783383,39307960,21,C,20,,,
42783384,39307961,2,C,20,,,
42789024,39307963,49,C,20,0,F,
42786203,39307965,45,C,5,,,
42771846,39303950,51,C,20,,,
42778245,39303986,45,C,23,,,
42776064,39303996,27,C,20,,,
42778246,39303999,51,C,13,,,
42771848,39304003,51,C,20,,,
42771849,39304003,44,C,20,,,
42781941,39304015,51,C,20,,,
42776065,39304017,51,C,20,,,
42782168,39304029,16,C,13,,,
42791797,39311718,21,C,13,,,
42789890,39311719,11,C,8,,,
42784222,39311720,23,C,7,,,
42789891,39311721,51,C,20,,,
42789892,39311722,51,C,46,,,
42777136,39311723,51,C,20,,,
42791798,39311724,51,C,21,,,
42786297,39311725,16,C,13,,,
42786298,39311726,23,C,8,,,
42784223,39311727,51,C,13,,,
42784224,39311728,27,C,20,,,
42784225,39311728,5,C,20,,,
42777137,39311729,21,C,13,,,
42777138,39311730,44,C,13,,,
42777139,39311730,5,C,13,,,
42786160,39311731,51,C,3,,,
42786299,39311732,27,C,20,,,
42786300,39311732,5,C,20,,,
42786618,39311733,5,C,20,,,
42784226,39311734,21,C,18,,,
42777140,39311735,16,C,13,,,
42786161,39311736,44,C,20,,,
42789893,39311737,14,C,18,,,
42789894,39311737,5,C,18,,,
42786301,39311738,36,C,20,,,
42786302,39311739,27,C,3,,,
42786303,39311739,51,C,3,,,
42786304,39311739,45,C,3,,,
42786305,39311739,5,C,18,,,
42786162,39311740,7,C,13,,,
42786163,39311740,5,C,13,,,
42786164,39311741,14,C,13,,,
42786165,39311741,5,C,13,,,
42786619,39311742,51,C,14,,,
