offender_id,incident_id,offender_seq_num,age_id,age_num,sex_code,race_id,ethnicity_id,ff_line_number,age_range_low_num,age_range_high_num
42246210,37626028,1,4,,U,0,,,,
42238675,37619285,1,5,32,F,2,,,,
42246099,37625118,1,4,,U,0,,,,
42246111,37625130,1,5,30,M,1,,,,
42246144,37625156,0,,,,,,,,
42247820,37626068,0,,,,,,,,
42247832,37626079,0,,,,,,,,
42246168,37625179,1,5,31,M,1,,,,
42246176,37625187,0,,,,,,,,
42247860,37626104,0,,,,,,,,
42247867,37626111,1,4,,F,0,,,,
42247882,37626125,1,4,,U,0,,,,
42247897,37626140,1,4,,M,0,,,,
42246029,37625056,1,5,20,M,1,,,,
42246031,37625058,1,5,45,M,2,,,,
44182702,39311771,1,5,28,F,2,,,,
44182703,39311772,0,,,,,,,,
44182704,39311773,1,5,26,M,2,,,,
44182705,39311774,1,5,46,M,1,,,,
44182706,39311775,1,5,17,M,2,,,,
44182707,39311776,1,5,33,M,2,,,,
44182708,39311777,0,,,,,,,,
44182709,39311778,0,,,,,,,,
44182710,39311779,0,,,,,,,,
44182711,39311780,1,5,34,M,2,,,,
44182712,39311781,1,5,37,M,5,,,,
44182713,39311782,1,5,30,M,1,,,,
44182714,39311783,1,4,,U,0,,,,
44182715,39311784,0,,,,,,,,
44182716,39311785,0,,,,,,,,
44182717,39311786,1,5,34,F,2,,,,
44182719,39311787,2,5,34,M,2,,,,
44182718,39311787,1,5,37,F,1,,,,
44182720,39311788,0,,,,,,,,
44182721,39311789,1,5,18,M,1,,,,
44182722,39311790,1,5,20,M,2,,,,
44182723,39311791,1,5,32,M,2,,,,
44182724,39311792,1,5,34,F,1,,,,
44182725,39311793,1,5,19,M,1,,,,
44182726,39311795,1,4,,U,0,,,,
44182727,39311796,0,,,,,,,,
44182728,39311797,0,,,,,,,,
44182729,39311798,1,5,29,M,2,,,,
44182732,39311799,3,5,34,M,1,,,,
44182730,39311799,1,5,34,M,1,,,,
44182731,39311799,2,4,,F,0,,,,
44182733,39311801,1,5,35,F,2,,,,
44182736,39311802,3,5,14,M,1,,,,
44182734,39311802,1,4,,M,1,,,,
44182735,39311802,2,5,13,M,1,,,,
44182737,39311803,1,5,29,M,2,,,,
44182739,39311805,2,5,62,M,1,,,,
44182738,39311805,1,5,53,M,1,,,,
44182740,39311806,1,5,23,F,1,,,,
44182741,39311807,1,5,22,M,2,,,,
44182743,39311807,3,5,20,M,0,,,,
44182744,39311807,4,5,20,M,2,,,,
44182742,39311807,2,5,20,M,2,,,,
44182746,39311808,2,5,25,F,1,,,,
44182745,39311808,1,5,28,M,2,,,,
44182747,39311808,3,5,34,M,2,,,,
44182748,39311809,1,5,25,M,1,,,,
44182749,39311810,1,5,16,F,2,,,,
44182750,39311811,1,5,15,F,2,,,,
44182752,39311812,2,5,32,M,1,,,,
44182751,39311812,1,5,21,M,1,,,,
44182753,39311813,0,,,,,,,,
44182754,39311814,1,5,62,M,1,,,,
44182755,39311815,1,5,33,M,1,,,,
44182756,39311816,1,5,36,F,2,,,,
44182758,39311817,2,5,55,M,1,,,,
44182757,39311817,1,5,41,M,1,,,,
44182759,39311818,1,5,23,M,1,,,,
44182760,39311819,1,4,,U,0,,,,
44182761,39311820,1,5,24,M,1,,,,
44182762,39311821,1,5,25,M,1,,,,
44182763,39311822,1,5,17,F,2,,,,
44182765,39311823,2,5,27,F,2,,,,
44182764,39311823,1,5,30,M,2,,,,
44182766,39311824,1,5,23,M,1,,,,
44182767,39311825,1,5,20,F,1,,,,
44182768,39311826,1,5,24,M,2,,,,
44182772,39311827,4,5,21,M,1,,,,
44182771,39311827,3,5,32,M,1,,,,
44182770,39311827,2,5,20,M,1,,,,
44182769,39311827,1,5,21,M,1,,,,
44182773,39311828,1,5,37,F,1,,,,
44182775,39311828,3,5,37,M,2,,,,
44182774,39311828,2,5,43,M,2,,,,
44182776,39311829,1,5,15,F,1,,,,
44182777,39311830,0,,,,,,,,
44182778,39311831,0,,,,,,,,
44182779,39311832,1,5,21,M,1,,,,
44182781,39311834,1,5,20,M,1,,,,
44182782,39311835,1,5,19,M,1,,,,
44182783,39311835,2,5,15,M,2,,,,
44182784,39311836,0,,,,,,,,
44182785,39311837,1,5,26,F,1,,,,
44182786,39311838,1,5,19,M,2,,,,
44182787,39311839,1,5,25,M,1,,,,
44182788,39311840,1,5,24,M,1,,,,
44182789,39311841,1,5,23,F,2,,,,
44182790,39311842,1,5,25,M,1,,,,
44182791,39311843,1,5,43,M,1,,,,
44182792,39311844,1,4,,F,0,,,,
44182793,39311845,1,5,17,M,2,,,,
44182794,39311846,0,,,,,,,,
44182795,39311847,1,5,40,M,1,,,,
44182796,39311848,1,4,,U,0,,,,
44182797,39311849,0,,,,,,,,
44182798,39311850,1,5,40,F,2,,,,
44182799,39311851,1,5,47,M,2,,,,
44182800,39311852,1,5,35,F,2,,,,
44182801,39311853,1,5,26,M,1,,,,
44182802,39311854,0,,,,,,,,
44182803,39311855,0,,,,,,,,
44182804,39311856,0,,,,,,,,
44186289,39314653,3,5,28,F,1,,,,
44186287,39314653,1,4,,M,2,,,,
44186288,39314653,2,5,38,M,2,,,,
44186290,39314654,1,5,19,M,1,,,,
44186291,39314655,1,5,38,M,1,,,,
44186292,39314656,1,5,49,F,2,,,,
44186294,39314657,2,4,,U,0,,,,
44186293,39314657,1,5,32,M,1,,,,
44186295,39314658,1,5,36,M,2,,,,
44186297,39314659,2,5,22,F,1,,,,
44186296,39314659,1,5,22,F,1,,,,
44186298,39314660,1,5,70,M,1,,,,
44186299,39314661,1,5,20,M,2,,,,
44186300,39314662,1,5,27,M,0,,,,
44186301,39314663,1,5,28,M,2,,,,
44186302,39314664,1,5,45,M,2,,,,
44186304,39314665,2,5,26,F,1,,,,
44186303,39314665,1,5,27,M,2,,,,
44186305,39314666,1,4,,U,0,,,,
44186306,39314667,0,,,,,,,,
44186307,39314668,1,5,35,M,2,,,,
44186308,39314669,1,5,45,F,1,,,,
44186310,39314670,2,4,,U,0,,,,
44186309,39314670,1,4,,U,0,,,,
44186311,39314671,0,,,,,,,,
44186312,39314672,1,5,25,M,2,,,,
44186314,39314673,2,4,,U,0,,,,
44186313,39314673,1,4,,U,0,,,,
44186315,39314674,0,,,,,,,,
44186318,39314676,2,5,17,M,1,,,,
44186317,39314676,1,5,18,M,1,,,,
44186361,39314710,1,5,36,M,1,,,,
44186362,39314711,1,4,,U,0,,,,
44186363,39314711,2,5,20,M,1,,,,
44186364,39314712,1,5,43,M,2,,,,
44186366,39314713,2,5,22,M,2,,,,
44186365,39314713,1,5,18,M,2,,,,
44186367,39314714,0,,,,,,,,
44186368,39314715,1,5,33,M,1,,,,
44186369,39314716,1,5,44,M,1,,,,
44186370,39314717,1,5,25,M,1,,,,
44186371,39314718,1,5,36,M,2,,,,
44186372,39314719,0,,,,,,,,
44186373,39314720,1,5,19,M,1,,,,
44186374,39314721,1,5,34,F,2,,,,
44186375,39314722,0,,,,,,,,
44186376,39314723,0,,,,,,,,
44186377,39314724,0,,,,,,,,
44186379,39314725,2,5,14,F,1,,,,
44186378,39314725,1,5,14,M,1,,,,
44186380,39314726,0,,,,,,,,
44186381,39314727,1,5,16,M,2,,,,
44186382,39314728,1,5,37,F,1,,,,
44186383,39314729,1,5,34,M,2,,,,
44186384,39314730,0,,,,,,,,
44186385,39314731,1,4,,U,0,,,,
44186386,39314732,0,,,,,,,,
44186387,39314733,1,5,22,M,1,,,,
44186388,39314734,1,5,21,F,2,,,,
44186389,39314735,0,,,,,,,,
44186390,39314736,1,5,19,F,2,,,,
44186391,39314736,2,5,24,M,2,,,,
44186392,39314737,0,,,,,,,,
44186393,39314738,0,,,,,,,,
44186394,39314739,1,4,,M,0,,,,
44186395,39314740,1,5,47,F,1,,,,
44186396,39314741,1,4,,U,0,,,,
44186397,39314742,1,5,21,M,1,,,,
44186399,39314743,2,4,,U,0,,,,
44186398,39314743,1,5,32,M,1,,,,
44186401,39314744,2,5,24,M,2,,,,
44186400,39314744,1,5,19,F,2,,,,
44186402,39314745,1,5,19,F,2,,,,
44186403,39314746,0,,,,,,,,
44186404,39314747,1,5,43,F,1,,,,
44186405,39314748,1,5,24,F,2,,,,
44186406,39314749,1,4,,U,0,,,,
44186407,39314750,1,4,,F,1,,,,
44186408,39314751,0,,,,,,,,
44186409,39314752,0,,,,,,,,
44186412,39314753,3,5,20,F,2,,,,
44186411,39314753,2,5,20,M,2,,,,
44186410,39314753,1,5,40,F,2,,,,
44186413,39314754,1,5,46,F,1,,,,
44186415,39314755,2,5,28,F,1,,,,
