incident_id,age_num,sex_code,race_id,offense_type_id,location_id
61820479,40.0,M,2.0,51,20
61820480,39.0,F,2.0,44,20
61820481,20.0,M,2.0,21,23
61820481,20.0,M,2.0,21,23
61820482,26.0,M,1.0,40,21
61820482,26.0,M,1.0,40,21
61820483,26.0,F,2.0,40,23
61820484,-1.0,M,2.0,27,13
61820484,-1.0,M,2.0,5,20
61820484,-1.0,M,2.0,27,13
61820484,-1.0,M,2.0,5,20
61820486,23.0,F,2.0,51,20
61820486,23.0,F,2.0,5,20
61820487,-1.0,M,0.0,21,20
61820487,-1.0,M,0.0,21,20
61820488,25.0,F,1.0,40,23
61820488,26.0,M,1.0,40,23
61820489,-1.0,U,0.0,5,20
61820490,31.0,M,2.0,40,13
61820491,27.0,F,1.0,51,20
61820494,59.0,M,2.0,2,13
61820495,-1.0,U,0.0,44,20
61820495,-1.0,U,0.0,45,20
61820495,22.0,M,2.0,44,20
61820495,22.0,M,2.0,45,20
61820495,19.0,M,2.0,44,20
61820495,19.0,M,2.0,45,20
61820496,-1.0,U,0.0,49,20
61820496,-1.0,U,0.0,5,20
61820497,26.0,M,1.0,40,8
61820497,26.0,M,1.0,40,8
61820497,27.0,M,1.0,40,8
61820498,60.0,M,1.0,5,20
61820501,43.0,M,2.0,51,20
61820502,17.0,M,2.0,16,22
61820504,50.0,M,1.0,51,14
61820505,23.0,F,2.0,5,20
61820505,22.0,M,2.0,5,20
61820508,19.0,F,2.0,51,13
61820511,25.0,M,2.0,51,20
61820511,22.0,F,2.0,51,20
61820512,45.0,M,1.0,16,20
61820513,25.0,M,2.0,49,20
61820515,45.0,F,2.0,51,18
61820516,21.0,M,2.0,16,20
61820518,16.0,M,1.0,51,20
61820518,16.0,M,1.0,5,20
61820519,20.0,M,2.0,45,23
61820520,20.0,M,1.0,49,20
61820520,40.0,M,1.0,49,20
61820521,32.0,M,2.0,44,20
61820522,23.0,M,2.0,45,20
61820522,23.0,M,2.0,51,20
61820523,32.0,M,2.0,51,24
61820524,25.0,M,2.0,11,46
61820524,25.0,M,2.0,16,46
61820525,44.0,M,2.0,51,13
61820526,26.0,M,1.0,40,21
61820526,25.0,M,1.0,40,21
61820526,-1.0,U,0.0,40,21
61820527,26.0,M,1.0,51,20
61820527,26.0,M,1.0,5,20
61820528,49.0,M,1.0,51,20
61820529,42.0,M,1.0,5,18
61820529,42.0,M,1.0,5,18
61820530,36.0,M,2.0,51,13
61820531,35.0,M,1.0,51,20
61820532,18.0,M,2.0,28,13
61820532,20.0,M,2.0,28,13
61820533,21.0,M,2.0,5,20
61820534,25.0,M,1.0,45,3
61820534,25.0,M,1.0,5,3
61820535,41.0,M,1.0,35,13
61820535,41.0,M,1.0,16,13
61820538,28.0,F,1.0,45,20
61820538,18.0,F,1.0,45,20
61820539,30.0,M,1.0,27,20
61820540,30.0,M,2.0,5,20
61820540,22.0,M,2.0,5,20
61820540,23.0,F,2.0,5,20
61820541,13.0,M,2.0,45,22
61820541,13.0,M,2.0,45,22
61820546,-1.0,F,0.0,2,20
61820547,52.0,M,1.0,49,20
61820547,52.0,M,1.0,45,20
61820548,47.0,M,2.0,27,20
61820549,14.0,M,1.0,51,22
61820550,19.0,M,1.0,45,20
61820551,37.0,M,1.0,44,20
61820552,13.0,F,1.0,51,22
61820552,13.0,F,1.0,51,22
61820554,26.0,F,1.0,51,20
61820555,-1.0,U,0.0,49,20
61820555,-1.0,U,0.0,5,20
61820556,13.0,M,2.0,51,22
61820558,15.0,M,2.0,45,22
61820559,20.0,F,2.0,51,20
61820560,30.0,M,1.0,51,20
61820561,45.0,M,1.0,45,25
61820562,18.0,M,1.0,23,23
61820562,18.0,M,1.0,23,23
61820564,-1.0,U,0.0,49,20
61820564,-1.0,U,0.0,5,20
61820565,13.0,M,1.0,51,20
61820566,34.0,M,1.0,23,8
61820567,28.0,M,2.0,45,20
61820567,-1.0,U,0.0,45,20
61820568,18.0,M,2.0,40,18
61820568,16.0,M,2.0,40,18
61820568,16.0,M,2.0,40,18
61820568,18.0,M,2.0,40,18
61820569,28.0,M,2.0,27,20
61820569,28.0,M,2.0,5,20
61820570,22.0,M,2.0,51,20
61820570,22.0,M,2.0,5,20
61820571,26.0,M,2.0,5,18
61820572,30.0,M,2.0,51,20
61820572,27.0,F,2.0,51,20
61820573,-1.0,M,1.0,40,21
61820573,26.0,M,1.0,40,21
61820573,26.0,M,1.0,40,21
61820573,-1.0,M,0.0,40,21
61820576,20.0,F,1.0,51,18
61820576,47.0,M,1.0,51,18
61820577,23.0,M,2.0,44,20
61820578,12.0,M,2.0,51,22
61820578,13.0,M,2.0,51,22
61820578,12.0,M,2.0,51,22
61820578,12.0,M,2.0,51,22
61820579,20.0,M,2.0,45,23
61820580,33.0,M,1.0,51,13
61820581,18.0,M,1.0,44,20
61820582,24.0,M,1.0,49,20
61820582,24.0,M,1.0,5,20
61820582,18.0,M,1.0,49,20
61820582,18.0,M,1.0,5,20
61820583,56.0,M,1.0,44,20
61820585,47.0,M,2.0,44,20
61820586,18.0,M,2.0,51,22
61820587,18.0,M,2.0,51,22
61820588,39.0,M,0.0,11,2
61820588,37.0,M,1.0,11,2
61820589,14.0,F,2.0,51,22
61820591,16.0,M,2.0,45,20
61820592,25.0,M,2.0,5,13
61820592,24.0,F,2.0,5,13
61820593,18.0,M,2.0,40,7
61820593,20.0,M,2.0,40,7
61820594,45.0,F,1.0,23,12
61820595,19.0,M,2.0,51,20
61820595,19.0,M,2.0,5,20
61820596,25.0,M,2.0,16,13
61820596,18.0,M,2.0,16,13
61820596,18.0,M,2.0,16,13
61820597,28.0,M,2.0,27,13
61820597,-1.0,U,0.0,27,13
61820599,13.0,F,2.0,27,20
61820600,17.0,M,5.0,5,20
61820601,19.0,M,2.0,51,20
61820602,30.0,M,1.0,45,12
61820603,-1.0,U,0.0,27,20
61820604,33.0,F,1.0,45,13
61820605,42.0,F,1.0,51,20
61820606,21.0,F,2.0,51,20
61820607,27.0,F,2.0,5,18
61820612,28.0,M,2.0,49,24
61820613,55.0,M,1.0,45,23
61820615,-1.0,U,0.0,49,20
61820615,-1.0,U,0.0,5,20
61820616,22.0,M,2.0,45,5
61820616,52.0,M,2.0,45,5
61820617,14.0,M,2.0,51,22
61820619,32.0,M,1.0,40,21
61820620,-1.0,U,0.0,49,20
61820620,-1.0,U,0.0,5,20
61820621,41.0,F,1.0,16,20
61820624,23.0,M,2.0,51,20
61820625,42.0,M,2.0,27,20
61820626,-1.0,F,5.0,51,46
61820627,26.0,F,1.0,45,20
61820627,-1.0,F,0.0,45,20
61820627,-1.0,F,0.0,45,20
61820628,35.0,F,2.0,44,20
61820628,16.0,M,2.0,44,20
61820630,16.0,M,1.0,23,20
61820630,16.0,M,1.0,5,20
61820630,17.0,M,1.0,23,20
61820630,17.0,M,1.0,5,20
61820631,-1.0,M,1.0,14,18
61820632,20.0,M,0.0,27,20
61820632,20.0,M,0.0,5,20
61820633,15.0,M,2.0,21,23
61820633,15.0,M,2.0,28,13
61820634,-1.0,U,0.0,27,20
61820634,-1.0,U,0.0,5,20
61821443,23.0,M,1.0,51,20
61821444,30.0,M,2.0,27,20
61821444,30.0,M,2.0,27,20
61821445,30.0,M,2.0,27,20
61821445,30.0,M,2.0,51,20
61821445,29.0,F,2.0,27,20
61821445,29.0,F,2.0,51,20
61821446,51.0,F,1.0,51,46
61821447,21.0,M,1.0,51,15
61821447,21.0,M,1.0,5,20
