offender_id,incident_id,offender_seq_num,age_id,age_num,sex_code,race_id,ethnicity_id,ff_line_number,age_range_low_num,age_range_high_num
53819523,47848886,1,5,61,M,1,,,,
53817727,47847871,1,5,40,M,1,,,,
53817728,47847872,1,5,26,M,1,,,,
53817729,47847873,1,5,14,M,2,,,,
53817730,47847874,1,5,30,M,2,,,,
53817732,47847875,2,4,,M,1,,,,
53817731,47847875,1,4,,M,1,,,,
53817733,47847876,0,,,,,,,,
53817734,47847877,0,,,,,,,,
53817735,47847878,1,5,43,M,2,,,,
53817736,47847879,1,5,20,F,2,,,,
53817737,47847880,1,5,25,M,2,,,,
53817738,47847881,1,5,22,M,1,,,,
53817739,47847882,0,,,,,,,,
53817740,47847884,1,5,29,M,1,,,,
53817741,47847885,1,5,32,M,2,,,,
53817742,47847887,0,,,,,,,,
53817743,47847888,1,5,45,F,1,,,,
53817744,47847889,1,5,41,F,2,,,,
53817745,47847890,1,5,52,M,2,,,,
53817746,47847891,1,5,24,F,2,,,,
53817747,47847892,0,,,,,,,,
53817750,47847893,3,5,30,M,2,,,,
53817749,47847893,2,5,20,M,2,,,,
53817748,47847893,1,5,20,M,2,,,,
53817751,47847894,1,5,19,M,2,,,,
53817754,47847895,3,5,19,M,2,,,,
53817753,47847895,2,5,16,M,2,,,,
53817752,47847895,1,5,18,M,2,,,,
53817755,47847896,0,,,,,,,,
53817757,47847898,2,5,35,M,1,,,,
53817756,47847898,1,5,35,M,1,,,,
53817759,47847899,2,5,19,F,2,,,,
53817758,47847899,1,5,25,M,2,,,,
53817760,47847900,1,5,19,M,1,,,,
53817761,47847900,2,5,19,M,2,,,,
53817762,47847901,1,5,16,F,2,,,,
53817763,47847901,2,5,18,F,1,,,,
53817764,47847902,1,5,28,F,1,,,,
53817765,47847903,1,4,,M,1,,,,
53817766,47847904,0,,,,,,,,
53817767,47847905,1,5,38,M,2,,,,
53817768,47847906,1,5,29,M,2,,,,
53817769,47847907,0,,,,,,,,
53817770,47847908,1,4,,U,0,,,,
53817771,47847909,1,5,49,M,2,,,,
53819330,47847910,1,5,20,F,1,,,,
53819331,47847911,1,5,18,M,2,,,,
53819332,47847912,1,5,25,M,2,,,,
53819333,47847913,0,,,,,,,,
53819334,47847914,1,5,41,M,1,,,,
53819335,47847915,1,5,19,M,2,,,,
53819336,47847916,1,5,37,F,2,,,,
53819337,47847917,0,,,,,,,,
53819338,47847918,1,5,17,M,1,,,,
53819339,47847919,1,5,22,M,2,,,,
53819340,47847920,1,5,21,F,2,,,,
53819341,47847921,1,5,20,F,2,,,,
53819342,47847922,0,,,,,,,,
53819343,47847923,0,,,,,,,,
53819344,47847924,1,5,43,M,2,,,,
53819345,47847925,1,4,,U,0,,,,
53819346,47847926,1,5,34,M,2,,,,
53819347,47847927,1,5,47,M,2,,,,
53819349,47847928,2,5,56,F,1,,,,
53819348,47847928,1,5,40,M,1,,,,
53819350,47847929,1,5,23,M,2,,,,
53819351,47847930,0,,,,,,,,
53819352,47847931,1,5,38,M,1,,,,
53819353,47847932,0,,,,,,,,
53819354,47847933,1,5,48,F,1,,,,
53819355,47847934,1,4,,U,0,,,,
53819356,47847935,0,,,,,,,,
53819357,47847936,0,,,,,,,,
53819358,47847937,1,4,,U,0,,,,
53819359,47847938,1,5,54,F,2,,,,
53819360,47847939,1,5,50,M,1,,,,
53819361,47847940,1,4,,U,0,,,,
53819362,47847941,1,5,45,M,1,,,,
53827029,47855594,1,5,35,F,1,,,,
53827030,47855595,1,4,,U,0,,,,
53826766,47854577,1,5,35,M,2,,,,
53826767,47854578,1,4,,U,0,,,,
53826768,47854579,1,5,13,M,1,,,,
53826769,47854580,1,5,37,M,1,,,,
53826770,47854581,1,5,22,M,1,,,,
53826771,47854582,1,5,17,F,2,,,,
53826772,47854583,1,5,48,F,1,,,,
53826773,47854584,0,,,,,,,,
53826774,47854585,1,5,44,M,1,,,,
53826775,47854586,1,5,50,M,1,,,,
53826776,47854587,1,4,,U,0,,,,
53826777,47854588,0,,,,,,,,
53826778,47854589,0,,,,,,,,
53826779,47854590,1,6,,U,0,,,,
53826780,47854591,0,,,,,,,,
53826781,47854592,1,5,35,M,2,,,,
53826782,47854593,0,,,,,,,,
53826783,47854594,1,5,20,M,1,,,,
53826784,47854595,1,5,43,M,1,,,,
53826785,47854596,1,5,42,F,2,,,,
53826786,47854597,1,5,12,F,1,,,,
53826788,47854598,2,5,51,F,1,,,,
53826787,47854598,1,5,43,M,1,,,,
53830612,47857605,1,4,,M,1,,,,
53843540,47868199,1,4,,F,2,,,,
53843541,47868199,2,5,18,M,2,,,,
53860121,47880929,0,,,,,,,,
53860125,47880933,0,,,,,,,,
53819524,47848887,1,5,27,M,1,,,,
53819525,47848888,1,5,38,M,1,,,,
53819526,47848889,1,5,27,M,2,,,,
53819527,47848890,1,5,27,M,2,,,,
53819528,47848891,1,5,49,M,1,,,,
53819529,47848892,1,5,22,F,2,,,,
53819530,47848893,1,5,36,F,2,,,,
53819531,47848894,1,5,18,F,1,,,,
53819532,47848895,1,5,17,F,2,,,,
53819536,47848896,4,5,24,F,1,,,,
53819535,47848896,3,5,24,M,2,,,,
