offense_id,incident_id,offense_type_id,attempt_complete_flag,location_id,num_premises_entered,method_entry_code,ff_line_number
52657493,47848886,2,C,25,,,
52659745,47847871,5,C,20,,,
52658197,47847872,5,C,20,,,
52654719,47847873,45,C,20,,,
52666698,47847874,51,C,20,,,
52654720,47847875,36,C,13,,,
52657457,47847876,45,C,3,,,
52654721,47847877,7,C,20,,,
52658198,47847878,51,C,20,,,
52658521,47847879,5,C,13,,,
52658522,47847880,51,C,20,,,
52657458,47847881,51,C,20,,,
52659746,47847882,21,C,20,,,
52658523,47847884,51,C,20,,,
52658524,47847884,5,C,20,,,
52658966,47847885,56,C,20,,,
52658525,47847887,45,C,23,,,
52666699,47847888,45,C,25,,,
52657459,47847889,51,C,13,,,
52657460,47847890,51,C,20,,,
52657908,47847891,51,C,3,,,
52658526,47847892,5,C,20,,,
52666700,47847893,44,C,20,,,
52666701,47847893,5,C,20,,,
52657909,47847894,5,C,20,,,
52657910,47847895,16,C,13,,,
52657911,47847895,39,C,13,,,
52658967,47847896,5,C,13,,,
52654722,47847898,35,C,13,,,
52659747,47847899,51,C,8,,,
52659748,47847899,23,C,8,,,
52666702,47847900,23,C,24,,,
52654723,47847901,45,C,5,,,
52659749,47847902,45,C,21,,,
52658968,47847903,14,C,18,,,
52658969,47847904,45,C,21,,,
52658970,47847905,51,C,20,,,
52654724,47847906,5,C,20,,,
52657461,47847907,14,C,25,,,
52657462,47847907,5,C,18,,,
52657912,47847908,45,C,23,,,
52657913,47847909,44,C,20,,,
52666703,47847910,5,C,13,,,
52657914,47847911,45,C,20,,,
52659750,47847912,5,C,20,,,
52659751,47847913,49,C,20,0,F,
52654725,47847914,56,C,20,,,
52658527,47847915,49,C,20,0,N,
52658528,47847915,5,C,20,,,
52657915,47847916,16,C,13,,,
52658529,47847917,49,C,20,0,F,
52658530,47847917,5,C,20,,,
52658531,47847918,35,C,3,,,
52666704,47847919,51,C,13,,,
52666705,47847919,16,C,13,,,
52658532,47847920,51,C,20,,,
52657916,47847921,45,C,23,,,
52658533,47847922,5,C,13,,,
52654726,47847923,14,C,3,,,
52654727,47847923,5,C,18,,,
52657917,47847924,51,C,20,,,
52659752,47847925,5,C,20,,,
52666706,47847926,51,C,20,,,
52657918,47847927,27,C,20,,,
52657919,47847927,51,C,20,,,
52657463,47847928,51,C,20,,,
52658534,47847929,45,C,20,,,
52657920,47847930,49,C,20,0,F,
52657921,47847930,5,C,20,,,
52657922,47847931,8,C,20,,,
52657464,47847932,49,C,20,0,N,
52658971,47847933,51,C,20,,,
52657465,47847934,14,C,13,,,
52657466,47847934,5,C,13,,,
52667473,47847935,49,C,20,0,F,
52667474,47847935,5,C,20,,,
52659753,47847936,14,C,18,,,
52659754,47847936,5,C,18,,,
52657467,47847937,49,C,20,0,F,
52657468,47847937,5,C,20,,,
52658972,47847938,23,C,8,,,
52658973,47847939,27,C,20,,,
52658535,47847940,27,C,20,,,
52658536,47847940,5,C,20,,,
52659755,47847941,16,C,13,,,
52665305,47855594,44,C,11,,,
52667791,47855595,5,C,24,,,
52665263,47854577,23,C,24,,,
52662283,47854578,49,C,20,0,F,
52662284,47854578,5,C,20,,,
52662285,47854579,51,C,1,,,
52662286,47854579,5,C,1,,,
52665264,47854580,44,C,20,,,
52665265,47854581,45,C,21,,,
52665266,47854582,51,C,8,,,
52665267,47854582,23,C,8,,,
52666418,47854583,51,C,20,,,
52668242,47854584,49,A,20,0,F,
52668243,47854584,5,C,20,,,
52673736,47854585,44,C,21,,,
52662287,47854586,27,C,20,,,
52667763,47854587,27,C,20,,,
52667764,47854587,5,C,20,,,
52668244,47854588,45,C,22,,,
52667765,47854589,45,C,22,,,
52667766,47854590,45,C,23,,,
52668245,47854591,49,A,20,0,F,
52668246,47854591,5,C,20,,,
52665268,47854592,51,C,23,,,
52666419,47854593,45,C,20,,,
52668247,47854594,51,C,20,,,
52668248,47854594,44,C,20,,,
52662288,47854595,51,C,20,,,
52673737,47854596,51,C,20,,,
52664449,47854597,51,C,20,,,
52666420,47854598,51,C,20,,,
52666421,47854598,5,C,20,,,
52668360,47857605,45,C,20,,,
52682838,47868199,2,C,2,,,
52698914,47880929,46,C,20,,,
52698775,47880933,45,C,25,,,
52659772,47848887,27,C,13,,,
52659773,47848887,51,C,13,,,
52659774,47848887,39,C,13,,,
52659775,47848888,51,C,20,,,
52659001,47848889,51,C,13,,,
52659002,47848890,5,C,20,,,
52659003,47848891,23,C,24,,,
52657494,47848892,11,A,17,,,
52657495,47848893,46,C,25,,,
52667503,47848894,51,C,20,,,
52659004,47848895,51,C,8,,,
52659776,47848896,45,C,18,,,
52659777,47848896,16,C,18,,,
52659778,47848896,39,C,18,,,
52659779,47848897,5,C,20,,,
52667504,47848898,21,C,18,,,
52667505,47848898,28,C,13,,,
52667506,47848899,40,C,20,,,
52659780,47848900,51,C,20,,,
52658552,47848901,5,C,13,,,
52657939,47848902,5,C,18,,,
