incident_id,age_num,sex_code,race_id,offense_type_id,location_id
47844886,49.0,M,1.0,11,13
47844887,37.0,F,2.0,45,25
47844887,37.0,F,2.0,41,11
47844888,39.0,M,2.0,5,20
47844889,39.0,M,2.0,45,20
47844890,42.0,M,2.0,49,3
47844891,-1.0,U,0.0,14,20
47844891,-1.0,U,0.0,5,20
47844892,24.0,M,1.0,51,13
47844893,42.0,M,2.0,51,46
47844894,40.0,M,1.0,51,46
47844895,19.0,F,0.0,5,20
47844896,27.0,M,2.0,16,20
47844897,25.0,M,2.0,51,15
47844898,27.0,M,1.0,51,20
47844899,47.0,M,1.0,51,13
47844899,47.0,M,1.0,16,13
47844900,34.0,F,1.0,45,2
47844900,34.0,F,1.0,11,2
47844900,34.0,F,1.0,45,2
47844900,34.0,F,1.0,11,2
47844901,19.0,F,2.0,51,20
47844902,24.0,M,1.0,51,13
47844904,23.0,F,2.0,44,20
47844918,39.0,M,1.0,27,20
47844918,39.0,M,1.0,51,20
47844949,42.0,M,1.0,51,20
47844962,39.0,M,1.0,45,25
47844962,39.0,M,1.0,2,25
47844968,43.0,F,1.0,49,20
47844968,43.0,F,1.0,45,20
47844968,43.0,F,1.0,5,20
47844983,49.0,F,1.0,45,20
47844985,30.0,M,1.0,30,13
47844985,28.0,F,1.0,30,13
47844993,25.0,F,1.0,51,20
47845019,26.0,M,1.0,49,1
47845030,18.0,M,2.0,51,22
47845916,21.0,M,2.0,51,13
47845916,21.0,M,2.0,5,13
47845927,47.0,M,1.0,51,13
47845930,34.0,F,2.0,45,20
47845930,34.0,F,2.0,41,25
47845930,34.0,F,2.0,45,20
47845930,34.0,F,2.0,41,25
47845957,46.0,M,1.0,46,20
47845985,22.0,F,2.0,51,20
47846865,22.0,M,2.0,44,18
47846865,22.0,M,2.0,23,8
47846865,6.0,F,2.0,44,18
47846865,6.0,F,2.0,23,8
47846896,20.0,M,1.0,5,13
47846896,19.0,M,1.0,5,13
47846896,19.0,M,1.0,5,13
47846896,21.0,M,2.0,5,13
47846961,43.0,M,1.0,14,20
47846961,45.0,M,1.0,14,20
47847793,20.0,M,1.0,27,13
47847793,20.0,M,1.0,14,13
47847793,20.0,M,1.0,5,13
47847793,20.0,M,1.0,27,13
47847793,20.0,M,1.0,14,13
47847793,20.0,M,1.0,5,13
47847793,20.0,M,1.0,27,13
47847793,20.0,M,1.0,14,13
47847793,20.0,M,1.0,5,13
47847793,19.0,F,1.0,27,13
47847793,19.0,F,1.0,14,13
47847793,19.0,F,1.0,5,13
47847834,40.0,M,1.0,16,20
47847834,47.0,F,1.0,16,20
47847834,38.0,M,1.0,16,20
47847843,25.0,M,1.0,51,13
47847843,25.0,M,1.0,5,13
47847853,24.0,M,2.0,44,20
47847854,-1.0,U,0.0,14,20
47847854,-1.0,U,0.0,5,20
47847855,-1.0,U,0.0,27,13
47847855,-1.0,U,0.0,5,13
47847856,31.0,F,1.0,5,13
47847856,31.0,F,1.0,39,25
47847856,31.0,F,1.0,5,13
47847856,31.0,F,1.0,39,25
47847856,32.0,M,1.0,5,13
47847856,32.0,M,1.0,39,25
47847856,23.0,M,1.0,5,13
47847856,23.0,M,1.0,39,25
47847857,22.0,M,1.0,51,20
47847858,34.0,M,2.0,51,3
47847858,29.0,M,1.0,51,3
47847859,22.0,M,1.0,51,20
47847859,49.0,M,1.0,51,20
47847860,17.0,M,0.0,5,13
47847860,13.0,M,2.0,5,13
47847860,17.0,M,2.0,5,13
47847861,28.0,M,1.0,16,13
47847862,-1.0,U,0.0,5,20
47847863,21.0,M,1.0,51,20
47847864,43.0,M,2.0,51,20
47847865,23.0,M,2.0,51,20
47847866,32.0,M,2.0,51,20
47847867,26.0,M,1.0,51,20
47847868,39.0,F,2.0,51,20
47847869,35.0,M,2.0,51,20
47847869,35.0,M,2.0,5,20
47847870,19.0,F,1.0,51,13
47847871,40.0,M,1.0,5,20
47847872,26.0,M,1.0,5,20
47847873,14.0,M,2.0,45,20
47847874,30.0,M,2.0,51,20
47847875,-1.0,M,1.0,36,13
47847875,-1.0,M,1.0,36,13
47847878,43.0,M,2.0,51,20
47847879,20.0,F,2.0,5,13
47847880,25.0,M,2.0,51,20
47847881,22.0,M,1.0,51,20
47847884,29.0,M,1.0,51,20
47847884,29.0,M,1.0,5,20
47847885,32.0,M,2.0,56,20
47847888,45.0,F,1.0,45,25
47847889,41.0,F,2.0,51,13
47847890,52.0,M,2.0,51,20
47847891,24.0,F,2.0,51,3
47847893,30.0,M,2.0,44,20
47847893,30.0,M,2.0,5,20
47847893,20.0,M,2.0,44,20
47847893,20.0,M,2.0,5,20
47847893,20.0,M,2.0,44,20
47847893,20.0,M,2.0,5,20
47847894,19.0,M,2.0,5,20
47847895,19.0,M,2.0,16,13
47847895,19.0,M,2.0,39,13
47847895,16.0,M,2.0,16,13
47847895,16.0,M,2.0,39,13
47847895,18.0,M,2.0,16,13
47847895,18.0,M,2.0,39,13
47847898,35.0,M,1.0,35,13
47847898,35.0,M,1.0,35,13
47847899,19.0,F,2.0,51,8
47847899,19.0,F,2.0,23,8
47847899,25.0,M,2.0,51,8
47847899,25.0,M,2.0,23,8
47847900,19.0,M,1.0,23,24
47847900,19.0,M,2.0,23,24
47847901,16.0,F,2.0,45,5
47847901,18.0,F,1.0,45,5
47847902,28.0,F,1.0,45,21
47847903,-1.0,M,1.0,14,18
47847905,38.0,M,2.0,51,20
47847906,29.0,M,2.0,5,20
47847908,-1.0,U,0.0,45,23
47847909,49.0,M,2.0,44,20
47847910,20.0,F,1.0,5,13
47847911,18.0,M,2.0,45,20
47847912,25.0,M,2.0,5,20
47847914,41.0,M,1.0,56,20
47847915,19.0,M,2.0,49,20
47847915,19.0,M,2.0,5,20
47847916,37.0,F,2.0,16,13
47847918,17.0,M,1.0,35,3
47847919,22.0,M,2.0,51,13
47847919,22.0,M,2.0,16,13
47847920,21.0,F,2.0,51,20
47847921,20.0,F,2.0,45,23
47847924,43.0,M,2.0,51,20
47847925,-1.0,U,0.0,5,20
47847926,34.0,M,2.0,51,20
47847927,47.0,M,2.0,27,20
47847927,47.0,M,2.0,51,20
47847928,56.0,F,1.0,51,20
47847928,40.0,M,1.0,51,20
47847929,23.0,M,2.0,45,20
47847931,38.0,M,1.0,8,20
47847933,48.0,F,1.0,51,20
47847934,-1.0,U,0.0,14,13
47847934,-1.0,U,0.0,5,13
47847937,-1.0,U,0.0,49,20
47847937,-1.0,U,0.0,5,20
47847938,54.0,F,2.0,23,8
47847939,50.0,M,1.0,27,20
47847940,-1.0,U,0.0,27,20
47847940,-1.0,U,0.0,5,20
47847941,45.0,M,1.0,16,13
47848756,-1.0,U,0.0,21,13
47848757,-1.0,U,0.0,14,13
47848757,-1.0,U,0.0,5,13
47848758,39.0,M,1.0,27,20
47848759,30.0,M,1.0,23,8
47848759,23.0,M,2.0,23,8
47848760,50.0,M,1.0,21,18
47848760,50.0,M,1.0,28,13
47848760,46.0,M,1.0,21,18
47848760,46.0,M,1.0,28,13
47848760,40.0,M,1.0,21,18
47848760,40.0,M,1.0,28,13
47848761,-1.0,U,0.0,45,12
47848762,-1.0,U,0.0,49,20
47848762,-1.0,U,0.0,5,20
47848763,29.0,M,1.0,44,20
47848764,-1.0,U,0.0,49,20
47848765,21.0,F,2.0,51,20
47848765,21.0,F,2.0,5,20
47848766,11.0,M,2.0,23,8
47848767,16.0,F,2.0,5,20
47848768,17.0,F,2.0,23,8
47848769,16.0,F,1.0,5,20
47848769,16.0,M,1.0,5,20
47848770,57.0,M,2.0,51,18
47848771,-1.0,M,2.0,40,13
47848772,14.0,F,1.0,23,8
47848772,12.0,F,1.0,23,8
47848772,34.0,F,1.0,23,8
47848773,26.0,M,2.0,39,20
47848774,19.0,M,2.0,40,13
47848774,19.0,M,2.0,40,13
47848777,23.0,F,1.0,51,20
47848778,18.0,M,1.0,51,20
47848779,22.0,M,2.0,51,3
47848779,21.0,M,2.0,51,3
47848780,23.0,M,1.0,51,3
47848781,27.0,F,1.0,27,18
47848782,-1.0,M,1.0,45,23
47848783,-1.0,U,0.0,5,18
47848784,21.0,M,1.0,51,20
47848784,21.0,M,1.0,5,18
47848784,24.0,F,1.0,51,20
47848784,24.0,F,1.0,5,18
47848784,19.0,M,1.0,51,20
47848784,19.0,M,1.0,5,18
47848785,46.0,M,1.0,51,20
47848785,46.0,M,1.0,45,20
47848786,-1.0,U,0.0,27,20
47848786,-1.0,U,0.0,5,20
47848786,22.0,F,2.0,27,20
47848786,22.0,F,2.0,5,20
47848787,41.0,M,1.0,49,20
47848788,50.0,M,1.0,5,18
47848789,23.0,M,1.0,51,20
47848790,43.0,F,1.0,45,20
47848791,45.0,M,1.0,44,20
47848791,44.0,F,1.0,44,20
47848793,-1.0,U,0.0,5,20
47848794,28.0,F,0.0,51,20
47848795,21.0,M,2.0,45,20
47848795,24.0,M,2.0,45,20
47848796,17.0,F,2.0,45,20
47848797,21.0,F,1.0,45,20
47848798,16.0,M,2.0,23,8
47848798,16.0,F,2.0,23,8
47848799,31.0,M,1.0,35,21
47848800,46.0,M,2.0,51,13
47848800,46.0,M,2.0,35,13
47848800,46.0,M,2.0,39,13
47848801,25.0,M,2.0,23,8
47848802,26.0,M,2.0,11,21
47848804,64.0,M,2.0,51,20
47848805,23.0,M,1.0,51,18
47848806,22.0,M,2.0,45,20
47848809,-1.0,U,0.0,14,18
47848809,-1.0,U,0.0,5,18
47848812,44.0,F,1.0,51,13
47848812,44.0,F,1.0,5,13
47848812,35.0,M,2.0,51,13
47848812,35.0,M,2.0,5,13
47848815,50.0,M,1.0,23,7
47848815,50.0,M,1.0,5,7
47848816,32.0,M,1.0,51,3
47848817,24.0,M,1.0,23,7
47848818,16.0,M,1.0,23,8
47848819,47.0,M,1.0,51,20
47848822,20.0,M,2.0,40,46
47848823,-1.0,U,0.0,5,20
47848824,-1.0,U,0.0,14,13
47848825,23.0,M,1.0,45,20
47848826,-1.0,U,0.0,40,8
47848827,22.0,M,2.0,51,7
47848829,-1.0,U,0.0,49,18
47848830,-1.0,U,0.0,41,20
47848831,30.0,M,2.0,5,20
47848833,20.0,M,1.0,45,14
47848833,20.0,M,1.0,41,20
47848833,25.0,M,1.0,45,14
47848833,25.0,M,1.0,41,20
47848834,16.0,F,2.0,51,22
47848835,16.0,M,1.0,16,22
47848836,15.0,M,2.0,16,22
47848837,15.0,M,1.0,14,13
47848837,15.0,M,1.0,39,18
47848837,15.0,M,1.0,14,13
47848837,15.0,M,1.0,39,18
47848838,16.0,M,2.0,16,22
47848839,17.0,F,2.0,16,22
47848840,15.0,M,2.0,16,22
47848841,25.0,M,1.0,23,12
47848842,17.0,M,2.0,39,13
47848842,19.0,M,2.0,39,13
47848843,-1.0,U,0.0,49,20
47848844,26.0,M,1.0,44,25
47848845,60.0,M,1.0,23,8
47848846,20.0,M,2.0,45,20
47848847,18.0,M,1.0,27,13
47848847,18.0,M,1.0,5,20
47848847,19.0,M,1.0,27,13
47848847,19.0,M,1.0,5,20
47848847,15.0,M,1.0,27,13
47848847,15.0,M,1.0,5,20
47848848,30.0,M,2.0,49,20
47848848,27.0,M,2.0,49,20
47848849,35.0,M,2.0,49,20
47848849,35.0,M,2.0,21,20
47848849,35.0,M,2.0,5,20
47848849,-1.0,U,0.0,49,20
47848849,-1.0,U,0.0,21,20
47848849,-1.0,U,0.0,5,20
47848850,31.0,M,1.0,44,20
47848851,12.0,M,2.0,45,20
47848852,-1.0,U,0.0,49,25
47848852,-1.0,U,0.0,5,25
47848853,22.0,M,1.0,16,18
47848854,-1.0,M,2.0,40,13
47848855,32.0,F,2.0,27,20
47848856,8.0,F,2.0,27,20
47848856,-1.0,U,0.0,27,20
47848857,43.0,M,2.0,35,7
47848859,46.0,M,2.0,27,20
47848860,31.0,M,1.0,45,23
47848861,-1.0,U,0.0,49,20
47848861,-1.0,U,0.0,14,20
47848861,-1.0,U,0.0,5,20
47848863,-1.0,U,0.0,14,13
47848863,-1.0,U,0.0,5,13
47848864,50.0,M,1.0,5,18
47848865,-1.0,U,0.0,49,18
47848866,18.0,M,2.0,51,18
47848866,19.0,M,2.0,51,18
47848869,20.0,M,1.0,16,20
47848871,-1.0,U,0.0,5,5
47848872,14.0,F,1.0,44,22
47848873,-1.0,U,0.0,14,18
47848874,19.0,M,2.0,49,20
47848874,19.0,M,2.0,5,20
47848874,19.0,M,2.0,49,20
47848874,19.0,M,2.0,5,20
47848874,27.0,M,1.0,49,20
47848874,27.0,M,1.0,5,20
47848875,20.0,M,2.0,51,20
47848875,23.0,F,1.0,51,20
47848876,-1.0,U,0.0,46,20
47848878,14.0,M,1.0,16,22
47848879,22.0,M,2.0,51,13
47848880,30.0,F,2.0,27,20
47848881,-1.0,M,2.0,49,20
47848881,-1.0,M,2.0,5,20
47848882,-1.0,U,0.0,46,20
47848883,20.0,M,2.0,23,7
47848883,-1.0,M,2.0,23,7
47848883,24.0,M,2.0,23,7
47848884,25.0,M,2.0,23,12
47848884,36.0,M,2.0,23,12
47848885,20.0,M,2.0,44,20
47848885,20.0,M,2.0,45,20
47848885,18.0,M,2.0,44,20
47848885,18.0,M,2.0,45,20
47848885,16.0,M,2.0,44,20
47848885,16.0,M,2.0,45,20
47848885,20.0,M,2.0,44,20
47848885,20.0,M,2.0,45,20
47848885,20.0,M,2.0,44,20
47848885,20.0,M,2.0,45,20
47848885,20.0,M,2.0,44,20
47848885,20.0,M,2.0,45,20
47848885,20.0,M,2.0,44,20
47848885,20.0,M,2.0,45,20
47848886,61.0,M,1.0,2,25
47848887,27.0,M,1.0,27,13
47848887,27.0,M,1.0,51,13
47848887,27.0,M,1.0,39,13
47848888,38.0,M,1.0,51,20
47848889,27.0,M,2.0,51,13
47848890,27.0,M,2.0,5,20
47848891,49.0,M,1.0,23,24
47848892,22.0,F,2.0,11,17
47848893,36.0,F,2.0,46,25
47848894,18.0,F,1.0,51,20
47848895,17.0,F,2.0,51,8
47848896,24.0,F,1.0,45,18
47848896,24.0,F,1.0,16,18
47848896,24.0,F,1.0,39,18
47848896,24.0,M,2.0,45,18
47848896,24.0,M,2.0,16,18
47848896,24.0,M,2.0,39,18
47848896,19.0,M,2.0,45,18
47848896,19.0,M,2.0,16,18
47848896,19.0,M,2.0,39,18
47848896,42.0,M,2.0,45,18
47848896,42.0,M,2.0,16,18
47848896,42.0,M,2.0,39,18
47848897,28.0,M,1.0,5,20
47848898,20.0,F,1.0,21,18
47848898,20.0,F,1.0,28,13
47848898,27.0,M,1.0,21,18
47848898,27.0,M,1.0,28,13
47848899,27.0,M,2.0,40,20
47848900,24.0,F,1.0,51,20
47848903,57.0,M,1.0,44,20
47848904,15.0,M,0.0,5,5
47848905,-1.0,U,0.0,45,23
47848906,22.0,M,2.0,11,13
47848907,14.0,F,1.0,51,20
47848907,14.0,F,1.0,16,20
47848907,15.0,F,1.0,51,20
47848907,15.0,F,1.0,16,20
47848909,27.0,M,2.0,40,13
47848910,32.0,M,1.0,35,13
47848910,32.0,M,1.0,35,13
47848912,23.0,M,1.0,51,13
47848913,-1.0,U,0.0,23,12
47848913,30.0,F,1.0,23,12
47848913,40.0,M,1.0,23,12
47848914,11.0,M,2.0,51,22
47848914,11.0,M,2.0,51,22
47848914,12.0,M,2.0,51,22
47848914,11.0,M,2.0,51,22
47848914,11.0,M,2.0,51,22
47848915,45.0,M,1.0,45,20
47848916,17.0,M,2.0,51,22
47848918,20.0,M,1.0,45,23
47849734,44.0,M,2.0,23,8
47849735,19.0,M,1.0,16,15
47849736,-1.0,M,3.0,11,2
47849739,44.0,M,2.0,44,5
47849740,23.0,M,1.0,5,20
47849741,16.0,M,2.0,49,20
47849741,16.0,M,2.0,5,20
47849742,32.0,F,1.0,45,20
