offender_id,incident_id,offender_seq_num,age_id,age_num,sex_code,race_id,ethnicity_id,ff_line_number,age_range_low_num,age_range_high_num
87117798,77319586,1,5,40,M,2,,,,
87117799,77319587,1,5,27,M,2,,,,
87117812,77319597,3,5,20,M,2,,,,
87117811,77319597,2,5,20,M,2,,,,
87117810,77319597,1,5,20,M,2,,,,
87117719,77319514,0,,,,,,,,
87117725,77319520,1,5,27,M,2,,,,
87117741,77319535,1,4,,U,0,,,,
87117787,77319576,1,5,19,M,2,,,,
87063088,77280528,1,5,19,M,2,,,,
87048549,77270025,1,4,,U,0,,,,
87079563,77293512,1,4,,U,0,,,,
87119322,77320297,3,5,22,M,1,,,,
87119321,77320297,2,4,,M,1,,,,
87119320,77320297,1,4,,M,1,,,,
87119331,77320306,0,,,,,,,,
87119332,77320307,1,5,18,M,2,,,,
87119333,77320308,1,5,25,M,1,,,,
87119336,77320311,1,5,34,F,1,,,,
87119337,77320312,1,5,39,F,2,,,,
87119344,77320318,1,5,21,F,1,,,,
87119349,77320323,1,5,44,M,1,,,,
87119358,77320328,2,5,20,M,1,,,,
87119357,77320328,1,4,,M,0,,,,
87119359,77320328,3,4,,M,1,,,,
87119362,77320331,1,5,33,M,2,,,,
87119363,77320332,0,,,,,,,,
87119365,77320334,1,5,28,F,1,,,,
87119366,77320334,2,4,,M,2,,,,
87119367,77320334,3,4,,M,1,,,,
87119383,77320347,1,5,31,M,2,,,,
87119384,77320348,1,5,32,M,2,,,,
87119505,77320441,3,5,39,F,1,,,,
87119504,77320441,2,5,15,F,1,,,,
87119503,77320441,1,5,14,M,2,,,,
87112097,77315180,0,,,,,,,,
87119397,77320358,2,4,,M,0,,,,
87119396,77320358,1,4,,U,0,,,,
87046985,77269968,0,,,,,,,,
87059570,77278678,1,4,,U,0,,,,
87077629,77291782,0,,,,,,,,
87119551,77321192,1,5,19,M,2,2,,,
87119553,77321194,0,,,,,,,,
87048630,77270800,1,5,18,U,2,,,,
87052301,77273447,0,,,,,,,,
87116001,77318649,0,,,,,,,,
87025281,77254366,0,,,,,,,,
87037746,77262979,1,4,,U,0,,,,
87016005,77247474,0,,,,,,,,
87030469,77257914,1,5,24,F,2,,,,
87016032,77247490,0,,,,,,,,
