incident_id,age_num,sex_code,race_id,offense_type_id,location_id
77239382,52.0,M,4.0,51,20
77239383,52.0,M,1.0,51,20
77239385,29.0,M,1.0,51,20
77239388,22.0,M,2.0,51,20
77239389,21.0,M,2.0,51,20
77239389,21.0,M,2.0,5,20
77239390,41.0,M,2.0,51,13
77239391,31.0,M,1.0,27,18
77240184,53.0,M,2.0,51,13
77240184,53.0,M,2.0,5,13
77240246,41.0,M,1.0,14,18
77240258,44.0,M,2.0,51,13
77240258,44.0,M,2.0,45,13
77240303,37.0,M,1.0,16,20
77240309,21.0,M,2.0,16,18
77240309,20.0,M,2.0,16,18
77240319,26.0,M,2.0,51,20
77241112,27.0,F,1.0,51,20
77241200,35.0,M,2.0,49,20
77241200,35.0,M,2.0,49,20
77241200,35.0,M,2.0,49,20
77241214,32.0,M,1.0,16,3
77241214,32.0,M,1.0,16,3
77241222,22.0,M,2.0,16,13
77241222,24.0,M,2.0,16,13
77241242,14.0,F,1.0,51,20
77242024,14.0,M,2.0,51,41
77242026,25.0,F,2.0,44,20
77242027,22.0,F,2.0,51,13
77242027,27.0,F,2.0,51,13
77242028,21.0,M,1.0,51,20
77242029,20.0,M,2.0,27,23
77242029,21.0,M,2.0,27,23
77242030,25.0,M,1.0,27,3
77242031,29.0,M,1.0,49,25
77242031,29.0,M,1.0,5,25
77242032,26.0,F,2.0,2,18
77242032,19.0,F,2.0,2,18
77242033,34.0,M,2.0,44,20
77242033,34.0,M,2.0,45,20
77242033,34.0,M,2.0,5,20
77242034,-1.0,U,0.0,27,20
77242034,-1.0,U,0.0,5,20
77242035,34.0,F,1.0,5,20
77242036,64.0,M,2.0,49,20
77242036,64.0,M,2.0,28,20
77242036,49.0,M,2.0,49,20
77242036,49.0,M,2.0,28,20
77242037,26.0,M,2.0,51,20
77242037,26.0,M,2.0,5,20
77242038,28.0,M,2.0,5,20
77242039,21.0,M,2.0,40,13
77242039,23.0,M,2.0,40,13
77242040,46.0,M,2.0,23,24
77242041,42.0,M,2.0,36,20
77242042,35.0,F,1.0,51,20
77242042,13.0,F,1.0,51,20
77242043,32.0,M,1.0,27,20
77242044,18.0,M,2.0,40,7
77242044,18.0,M,2.0,28,20
77242044,18.0,M,2.0,39,13
77242044,17.0,M,2.0,40,7
77242044,17.0,M,2.0,28,20
77242044,17.0,M,2.0,39,13
77242045,23.0,F,1.0,27,18
77242045,23.0,F,1.0,5,18
77242045,25.0,M,1.0,27,18
77242045,25.0,M,1.0,5,18
77242045,23.0,M,1.0,27,18
77242045,23.0,M,1.0,5,18
77242046,35.0,M,1.0,51,20
77242048,32.0,M,2.0,40,23
77242048,33.0,M,2.0,40,23
77242048,23.0,M,2.0,40,23
77242048,32.0,M,2.0,40,23
77242049,-1.0,U,0.0,14,13
77242049,-1.0,U,0.0,21,18
77242050,27.0,F,1.0,51,20
77242050,33.0,F,1.0,51,20
77242051,32.0,M,2.0,49,25
77242051,32.0,M,2.0,5,25
77242052,-1.0,M,1.0,44,20
77242053,22.0,M,2.0,39,13
77242053,19.0,F,1.0,39,13
77242054,17.0,M,2.0,40,13
77242054,17.0,M,2.0,39,13
77242054,17.0,M,2.0,40,13
77242054,17.0,M,2.0,39,13
77242054,18.0,M,2.0,40,13
77242054,18.0,M,2.0,39,13
77242054,14.0,M,2.0,40,13
77242054,14.0,M,2.0,39,13
77242054,20.0,M,2.0,40,13
77242054,20.0,M,2.0,39,13
77242054,22.0,M,2.0,40,13
77242054,22.0,M,2.0,39,13
77242054,18.0,M,2.0,40,13
77242054,18.0,M,2.0,39,13
77242054,23.0,M,2.0,40,13
77242054,23.0,M,2.0,39,13
77242056,51.0,M,2.0,51,20
77242060,34.0,M,2.0,7,30
77242061,19.0,M,1.0,27,20
77242061,19.0,M,1.0,51,20
77242061,19.0,M,1.0,5,20
77242062,29.0,F,2.0,23,8
77242064,20.0,F,2.0,51,20
77242066,46.0,M,1.0,45,46
77242067,22.0,F,1.0,23,8
77242067,22.0,F,1.0,5,8
77242068,21.0,M,2.0,23,12
77242069,32.0,F,1.0,51,7
77242069,23.0,F,1.0,51,7
77242070,29.0,M,1.0,51,20
77242071,19.0,M,2.0,45,23
77242072,18.0,F,2.0,27,13
77242073,50.0,M,1.0,51,20
77242074,18.0,M,2.0,51,20
77242075,23.0,M,2.0,5,20
