offense_id,incident_id,offense_type_id,attempt_complete_flag,location_id,num_premises_entered,method_entry_code,ff_line_number
83535088,77319586,45,C,5,,,
83550284,77319587,36,C,20,,,
83540626,77319597,23,C,17,,,
83535075,77319514,20,C,13,,,
83550269,77319520,20,C,20,,,
83536318,77319535,20,C,20,,,
83528635,77319576,16,C,46,,,
83472827,77280528,46,C,20,,,
83469408,77270025,45,C,20,,,
83491442,77293512,49,C,40,0,N,
83537421,77320297,16,C,20,,,
83535095,77320306,14,C,18,,,
83537423,77320307,45,C,20,,,
83536328,77320308,5,C,7,,,
83535096,77320311,51,C,21,,,
83550287,77320312,51,C,21,,,
83537424,77320318,23,C,8,,,
83536331,77320323,51,C,20,,,
83528644,77320328,27,C,13,,,
83528645,77320328,5,C,13,,,
83536334,77320331,44,C,20,,,
83536335,77320332,49,C,25,0,F,
83536336,77320332,5,C,25,,,
83540631,77320334,40,C,20,,,
83538199,77320347,39,C,13,,,
83536339,77320348,51,C,20,,,
83536758,77320441,8,C,20,,,
83527789,77315180,45,C,20,,,
83535099,77320358,46,C,20,,,
83462730,77269968,49,C,20,0,F,
83487227,77278678,46,C,20,,,
83491821,77291782,46,C,20,,,
83536767,77321192,36,C,20,,,
83540655,77321194,46,C,20,,,
83462749,77270800,45,C,20,,,
83475538,77273447,46,C,20,,,
83536709,77318649,14,C,18,,,
83536710,77318649,5,C,18,,,
83439469,77254366,45,C,20,,,
83439470,77254366,41,C,25,,,
83459485,77262979,45,C,5,,,
83427431,77247474,5,C,18,,,
83449933,77257914,46,C,20,,,
83440083,77247490,46,C,20,,,
83429581,77247382,36,C,20,,,
83429583,77247394,45,C,20,,,
83431722,77247397,46,C,20,,,
83440058,77247401,51,C,41,,,
83427421,77247422,45,C,20,,,
83431727,77247424,45,C,20,,,
83433727,77247426,45,C,20,,,
83435819,77247429,16,C,20,,,
83430343,77247432,49,C,20,0,F,
83430344,77247432,5,C,20,,,
83440068,77247435,44,C,20,,,
83440029,77245694,51,C,13,,,
83431682,77245695,51,C,20,,,
83440030,77245696,51,C,20,,,
83440031,77245697,30,C,13,,,
83435010,77245698,56,C,13,,,
83426211,77245699,51,C,20,,,
83429547,77245700,29,C,20,,,
83429548,77245700,27,C,20,,,
83440032,77245701,51,C,20,,,
83426212,77245702,27,C,20,,,
83427382,77245703,27,C,25,,,
83433684,77245704,23,C,23,,,
83426213,77245705,49,C,20,0,N,
83429549,77245706,23,C,8,,,
83433685,77245707,40,C,13,,,
83427383,77245708,45,C,23,,,
83435011,77245709,23,C,7,,,
83431683,77245710,7,C,20,,,
83426214,77245711,51,C,20,,,
83427384,77245712,44,C,18,,,
83435012,77245713,5,C,20,,,
83427385,77245714,51,C,20,,,
83440033,77245715,23,C,24,,,
83429550,77245716,49,C,20,0,F,
83429551,77245716,5,C,20,,,
83431684,77245717,23,C,24,,,
83429552,77245718,27,C,20,,,
83428211,77248282,44,C,20,,,
83443529,77248293,14,C,18,,,
83428219,77248306,46,C,46,,,
83444424,77252663,41,C,20,,,
83427428,77247466,21,C,18,,,
83431139,77243001,51,C,20,,,
83423490,77243002,23,C,8,,,
83431140,77243003,27,C,20,,,
83429471,77243004,23,C,24,,,
83431141,77243005,44,C,20,,,
83431142,77243006,5,C,20,,,
83423491,77243007,49,C,20,0,F,
83423492,77243007,5,C,20,,,
83430831,77243008,45,C,23,,,
83420268,77243009,5,C,18,,,
83432826,77243010,23,C,8,,,
83425370,77243011,27,C,20,,,
83431143,77243012,51,C,20,,,
83420269,77243013,5,C,18,,,
83432827,77243014,16,C,46,,,
83431144,77243016,45,C,23,,,
83432828,77243017,16,C,13,,,
83432829,77243017,35,C,13,,,
83425372,77243018,27,C,18,,,
83420270,77243019,45,C,20,,,
83432830,77243020,51,C,20,,,
83432831,77243020,45,C,20,,,
83432832,77243021,39,C,13,,,
83430832,77243022,16,C,20,,,
83430833,77243023,51,C,20,,,
83430834,77243024,51,C,20,,,
83432833,77243025,49,C,20,0,F,
83432834,77243025,5,C,20,,,
83440013,77245608,16,C,20,,,
83427370,77245609,51,C,13,,,
83440014,77245610,27,C,3,,,
83433662,77245611,27,C,20,,,
83434999,77245612,49,C,20,0,N,
83431662,77245613,39,C,13,,,
83426196,77245614,39,C,3,,,
83429533,77245615,51,C,20,,,
83433663,77245616,27,C,20,,,
83429534,77245617,49,C,20,0,F,
83429535,77245617,5,C,20,,,
83431663,77245618,49,C,20,0,F,
83431664,77245618,5,C,20,,,
83426197,77245619,21,C,5,,,
83440015,77245620,36,C,20,,,
83431665,77245621,23,C,24,,,
83427371,77245622,2,C,18,,,
83433664,77245623,23,C,12,,,
83433665,77245624,45,C,25,,,
83427372,77245625,21,C,20,,,
83431666,77245626,45,C,23,,,
83431667,77245627,27,C,20,,,
83426198,77245628,27,C,20,,,
83435000,77245629,5,C,20,,,
83440016,77245630,51,C,11,,,
83440017,77245630,35,C,20,,,
83433666,77245631,23,C,24,,,
83435001,77245632,5,C,20,,,
83429536,77245633,45,C,11,,,
83431668,77245634,11,C,21,,,
83433667,77245635,45,C,23,,,
83427373,77245636,45,C,25,,,
83427374,77245637,51,C,20,,,
83427375,77245638,16,C,18,,,
83426199,77245639,27,C,18,,,
83426200,77245639,23,C,7,,,
83435002,77245641,14,C,13,,,
83431669,77245642,14,C,18,,,
83431670,77245642,5,C,18,,,
83427376,77245643,16,C,13,,,
83431671,77245644,51,C,20,,,
83431672,77245644,5,C,20,,,
83429537,77245645,49,C,24,0,F,
83429538,77245645,5,C,24,,,
83440018,77245646,5,C,20,,,
83429539,77245647,16,C,13,,,
83440019,77245648,16,C,13,,,
83440020,77245648,35,C,13,,,
83427377,77245649,51,C,20,,,
83433668,77245650,49,C,20,0,F,
83433669,77245650,5,C,20,,,
83433670,77245650,35,C,20,,,
83427378,77245651,27,C,13,,,
83431673,77245652,49,C,20,0,F,
83431674,77245652,5,C,20,,,
83435003,77245653,14,C,18,,,
83435004,77245653,7,C,18,,,
83435005,77245653,5,C,18,,,
83426201,77245654,45,C,25,,,
83440021,77245655,23,C,8,,,
83440022,77245656,2,C,13,,,
83435006,77245657,45,C,14,,,
83429540,77245658,51,C,20,,,
83431675,77245659,21,A,20,,,
83431676,77245659,5,C,20,,,
83426202,77245660,45,C,21,,,
83433671,77245661,45,C,23,,,
83429541,77245662,51,C,20,,,
83433672,77245663,49,C,20,0,F,
83433673,77245663,5,C,20,,,
83433674,77245664,14,C,18,,,
83433675,77245664,5,C,18,,,
83433676,77245665,49,A,20,0,F,
83433677,77245665,5,C,20,,,
83426203,77245666,23,C,8,,,
83429542,77245667,35,C,11,,,
83440023,77245668,51,C,20,,,
83433678,77245669,49,A,20,0,F,
83433679,77245669,5,C,20,,,
83433680,77245670,45,C,20,,,
83429543,77245671,16,C,13,,,
83435007,77245672,16,C,13,,,
83435008,77245673,49,C,20,0,F,
83435009,77245673,5,C,20,,,
83440024,77245674,45,C,8,,,
83440025,77245674,11,A,8,,,
83426204,77245675,45,C,8,,,
83426205,77245675,11,A,8,,,
83427379,77245676,45,C,8,,,
83427380,77245676,11,A,8,,,
83431677,77245677,45,C,8,,,
83431678,77245677,11,A,8,,,
83426206,77245678,45,C,8,,,
83426207,77245678,11,A,8,,,
83426208,77245679,45,C,23,,,
83429544,77245680,51,C,13,,,
83440026,77245681,46,A,46,,,
83440027,77245682,45,C,20,,,
83429545,77245683,51,C,20,,,
83429546,77245684,7,C,13,,,
83426272,77248260,11,C,21,,,
83444409,77252558,36,C,14,,,
83446838,77258804,45,C,20,,,
83426241,77247364,5,C,18,,,
83423473,77242916,27,C,18,,,
83432807,77242918,27,C,20,,,
83432808,77242918,51,C,20,,,
83431123,77242919,16,C,20,,,
83425355,77242921,5,C,18,,,
83430822,77242922,39,C,18,,,
83431124,77242923,51,C,20,,,
83425356,77242925,21,C,13,,,
83430823,77242926,51,C,20,,,
83430824,77242926,5,C,20,,,
83431125,77242927,51,C,20,,,
83423474,77242928,44,C,20,,,
83423475,77242929,49,C,20,0,F,
83423476,77242930,16,C,41,,,
83431126,77242932,5,C,3,,,
83423477,77242933,5,C,18,,,
83425357,77242934,51,C,20,,,
83420253,77242935,49,C,20,0,F,
83420254,77242935,5,C,20,,,
83423478,77242936,51,C,20,,,
83432809,77242937,44,C,20,,,
83429464,77242938,16,C,18,,,
83430825,77242939,51,C,20,,,
83430826,77242940,49,C,20,0,N,
83420255,77242941,27,C,18,,,
83420256,77242941,21,C,18,,,
83430827,77242942,51,C,18,,,
83432810,77242943,5,C,20,,,
83425358,77242944,27,C,20,,,
83425359,77242944,5,C,20,,,
83423479,77242945,45,C,20,,,
83425360,77242946,51,C,20,,,
83432811,77242947,49,C,20,0,F,
83432812,77242947,5,C,20,,,
83420257,77242948,51,C,20,,,
83423480,77242949,16,C,13,,,
83425361,77242950,5,C,20,,,
83420258,77242951,16,C,20,,,
83420259,77242951,35,C,20,,,
83431127,77242952,45,C,23,,,
83432813,77242953,51,C,13,,,
83432814,77242953,5,C,13,,,
83431128,77242954,27,C,46,,,
83429465,77242955,16,C,20,,,
83432815,77242956,2,C,13,,,
83423481,77242957,21,C,13,,,
83423482,77242958,45,C,20,,,
83423483,77242959,5,C,20,,,
83420260,77242960,51,C,20,,,
83425362,77242961,5,C,20,,,
83420261,77242962,27,C,20,,,
83420262,77242962,5,C,20,,,
83429466,77242963,45,C,8,,,
83431129,77242964,51,C,13,,,
83425363,77242965,16,C,13,,,
83432816,77242966,49,C,20,0,F,
83432817,77242966,5,C,20,,,
83425364,77242967,51,C,20,,,
83431130,77242968,51,C,20,,,
83432818,77242969,16,C,18,,,
83432819,77242970,51,C,20,,,
83420263,77242971,51,C,20,,,
83423484,77242972,14,C,20,,,
83425365,77242973,21,C,13,,,
83432820,77242974,49,C,20,0,N,
83431131,77242975,45,C,25,,,
83431199,77245556,45,C,20,,,
83426185,77245557,21,C,18,,,
83433654,77245558,40,C,18,,,
83426186,77245559,51,C,20,,,
83426187,77245559,45,C,20,,,
83434988,77245560,45,C,20,,,
83431654,77245561,44,C,13,,,
83431655,77245561,16,C,13,,,
83433655,77245562,5,C,20,,,
83429520,77245563,45,C,23,,,
83427365,77245564,45,C,5,,,
83439233,77245565,27,C,20,,,
83429521,77245566,45,C,23,,,
83427366,77245567,45,C,6,,,
83426188,77245568,39,C,13,,,
83429522,77245569,14,C,18,,,
83429523,77245569,5,C,18,,,
83426189,77245570,28,C,21,,,
83434989,77245571,21,C,20,,,
83426190,77245572,49,C,20,0,F,
83433656,77245573,16,C,13,,,
83433657,77245573,35,C,13,,,
83429524,77245574,5,C,20,,,
83440008,77245575,5,C,20,,,
83439234,77245575,51,C,20,,,
83440009,77245576,45,C,23,,,
83431656,77245577,45,C,20,,,
83431657,77245577,5,C,20,,,
83426191,77245578,5,C,18,,,
83427367,77245579,5,C,20,,,
83429525,77245580,27,C,20,,,
83429526,77245581,5,C,20,,,
83429527,77245582,49,C,20,0,F,
83433658,77245583,45,C,20,,,
83433659,77245584,45,C,46,,,
83434990,77245585,23,C,12,,,
83434991,77245585,16,C,12,,,
83434992,77245586,45,A,2,,,
83434993,77245586,5,C,2,,,
83427368,77245587,45,C,21,,,
83440010,77245588,23,C,24,,,
83427369,77245589,5,C,20,,,
83434994,77245590,16,C,41,,,
83440028,77245685,45,C,46,,,
83431679,77245686,27,C,8,,,
83427381,77245687,11,C,12,,,
83431680,77245688,23,C,8,,,
83433681,77245689,49,C,20,0,F,
83433682,77245689,5,C,20,,,
83426209,77245690,36,C,20,,,
83426210,77245691,14,C,20,,,
83431681,77245692,51,C,20,,,
83433683,77245693,35,C,20,,,
83451497,77258682,41,C,20,,,
83420243,77242864,49,C,20,0,F,
83420244,77242864,5,C,20,,,
83420245,77242865,49,C,20,0,F,
83420246,77242865,5,C,20,,,
83431113,77242866,14,C,20,,,
83422829,77242867,45,C,23,,,
83432798,77242868,23,C,46,,,
83418309,77242869,14,C,20,,,
83418310,77242870,45,C,8,,,
83431114,77242871,49,C,20,0,F,
83431115,77242871,5,C,20,,,
83423464,77242872,45,C,20,,,
