offense_id,incident_id,offense_type_id,attempt_complete_flag,location_id,num_premises_entered,method_entry_code,ff_line_number
85754821,78274377,20,C,10,,,
85760530,78274378,20,C,20,,,
85754071,78274386,23,C,8,,,
85758261,78274389,27,C,20,,,
85754822,78274390,45,C,20,,,
91133523,83465192,36,C,20,,,
91133559,83465224,23,C,8,,,
85742749,78267735,46,C,20,,,
85629452,78204451,27,C,20,,,
85629453,78204451,45,C,20,,,
85630437,78204452,40,C,14,,,
85632726,78204453,29,A,13,,,
85629454,78204454,27,C,20,,,
85629455,78204454,5,C,20,,,
85629459,78204464,49,C,20,0,N,
85630443,78204471,7,C,18,,,
85630444,78204471,5,C,18,,,
85632864,78204474,11,C,5,,,
85632865,78204475,46,C,20,,,
85637801,78204479,45,C,3,,,
85632866,78204480,49,C,20,0,F,
85632867,78204480,5,C,20,,,
85629460,78204482,7,C,18,,,
85628177,78204484,7,C,30,,,
85633285,78204485,45,C,20,,,
85630448,78204500,45,C,20,,,
85630449,78204502,49,C,25,0,F,
85632872,78204505,46,C,20,,,
85633290,78204507,45,C,20,,,
85633291,78204510,56,A,20,,,
85632873,78204518,7,C,18,,,
97765085,89299449,49,C,20,,N,
97765084,89299449,28,C,20,,,
98594111,90028288,32,C,13,,,
96980972,88614996,43,C,20,,,
96991464,88622842,46,C,8,,,
96977929,88612078,32,C,13,,,
96977930,88612078,27,C,13,,,
96977974,88613239,5,C,20,,,
96977973,88613239,27,C,20,,,
94097556,86048574,16,C,20,,,
94097558,86048574,5,C,20,,,
85702896,78240882,51,C,20,,,
85702218,78245038,46,C,20,,,
90680659,83071606,5,C,20,,,
90680666,83071617,28,C,13,,,
90680667,83071617,49,C,20,,F,
90680668,83071617,5,C,20,,,
90681206,83071617,35,C,13,,,
92061056,84272390,51,C,20,,,
85761335,78276419,36,C,20,,,
92061066,84272401,51,C,13,,,
85634207,78209778,49,C,20,0,N,
85638689,78209794,23,C,21,,,
90377551,82810037,51,C,20,,,
90376897,82810035,39,C,20,,,
90376912,82810743,23,C,7,,,
85623523,78202191,51,C,13,,,
85623524,78202191,5,C,13,,,
85625391,78202192,56,C,20,,,
85622231,78202193,40,C,13,,,
85623122,78202194,27,C,20,,,
85623123,78202194,5,C,20,,,
85623525,78202195,51,C,13,,,
85629589,78202196,39,A,13,,,
85623526,78202197,51,C,14,,,
85628608,78202198,5,C,20,,,
85622232,78202199,14,C,18,,,
85627323,78202200,27,C,20,,,
85628609,78202201,5,C,20,,,
85622233,78202202,14,C,18,,,
85622234,78202202,7,C,18,,,
85622235,78202202,21,C,18,,,
85628610,78202203,21,C,13,,,
85622236,78202204,51,C,20,,,
85627324,78202205,16,C,18,,,
85627325,78202205,39,C,18,,,
85623124,78202206,16,C,13,,,
85623125,78202206,35,C,13,,,
85627326,78202207,49,C,24,0,F,
85627327,78202207,5,C,24,,,
85623527,78202208,51,C,20,,,
85628611,78202209,7,C,18,,,
85623126,78202210,49,C,20,0,N,
85623528,78202211,51,C,20,,,
85625392,78202213,51,C,41,,,
85625393,78202215,14,C,13,,,
85625394,78202215,5,C,13,,,
85625395,78202216,16,C,41,,,
85625396,78202216,35,C,41,,,
85629590,78202217,45,C,41,,,
85623127,78202218,51,C,20,,,
85623529,78202219,45,C,5,,,
85627328,78202220,23,C,8,,,
85629591,78202221,45,C,23,,,
85623530,78202222,5,C,32,,,
85627329,78202223,27,C,18,,,
85623128,78202224,36,C,20,,,
85625397,78202225,29,C,20,,,
85625398,78202225,51,C,20,,,
85622997,78202226,46,C,20,,,
85623129,78202227,49,C,5,0,F,
85623130,78202227,5,C,5,,,
85627330,78202228,49,C,20,0,F,
85627331,78202228,5,C,20,,,
85623131,78202229,51,C,20,,,
85625399,78202230,23,C,8,,,
85628613,78202231,44,C,20,,,
85623531,78202232,49,C,20,0,F,
85623532,78202232,5,C,20,,,
85622998,78202233,45,C,42,,,
85623533,78202234,45,C,20,,,
85627332,78202235,45,C,8,,,
85627333,78202236,45,C,46,,,
85632712,78203435,51,C,20,,,
85629643,78203436,7,C,18,,,
85629644,78203436,5,C,18,,,
85623589,78203437,51,C,20,,,
85632847,78203438,45,C,13,,,
85637773,78203439,45,C,21,,,
85632713,78203440,23,C,7,,,
85628153,78203441,23,C,8,,,
85637774,78203442,40,C,20,,,
85632848,78203443,45,C,21,,,
85629431,78203444,16,C,13,,,
85628154,78203445,44,C,20,,,
85637775,78203446,14,C,23,,,
85628155,78203447,49,C,20,0,F,
85628156,78203447,5,C,20,,,
85623590,78203448,5,C,18,,,
85629645,78203449,45,C,41,,,
85628157,78203450,27,C,20,,,
85629432,78203451,49,A,5,0,F,
85629433,78203451,5,C,5,,,
85623591,78203452,45,C,21,,,
