offender_id,incident_id,offender_seq_num,age_id,age_num,sex_code,race_id,ethnicity_id,ff_line_number,age_range_low_num,age_range_high_num
88243371,78274377,1,4,,U,0,,,,
88243372,78274378,1,4,,U,0,,,,
88243380,78274386,1,5,24,M,1,2,,,
88243384,78274389,1,5,59,M,2,2,,,
88243385,78274390,1,5,55,F,2,2,,,
94080793,83465192,1,5,26,M,1,2,,26,0
94080822,83465224,1,5,24,M,2,2,,20,29
88232538,78267735,0,,,,,,,,
88141239,78204451,1,5,37,M,2,,,,
88141240,78204451,2,5,30,M,1,,,,
88141241,78204452,1,5,19,M,1,,,,
88141242,78204452,2,5,31,M,2,,,,
88141243,78204453,1,5,32,M,2,,,,
88141244,78204454,1,5,28,M,1,,,,
88141255,78204464,0,,,,,,,,
88141263,78204471,0,,,,,,,,
88141266,78204474,1,5,21,M,1,,,,
88141267,78204475,1,5,35,F,2,,,,
88141272,78204479,0,,,,,,,,
88141273,78204480,0,,,,,,,,
88141275,78204482,0,,,,,,,,
88141277,78204484,0,,,,,,,,
88141278,78204485,0,,,,,,,,
88141299,78204500,0,,,,,,,,
88141301,78204502,1,5,34,M,1,2,,,
88141304,78204505,1,5,32,M,2,,,,
88141306,78204507,0,,,,,,,,
88141310,78204510,1,5,28,M,2,,,,
88141319,78204518,1,5,42,M,1,,,,
100803207,89299449,1,5,46,M,2,2,,46,0
100803209,89299449,2,5,32,M,2,2,,32,0
101645065,90028288,1,4,,U,0,3,,,
100017601,88614996,1,5,28,M,1,2,,28,0
100028030,88622842,1,5,20,F,2,2,,20,0
100015527,88612078,1,4,,U,0,3,,,
100015528,88612078,2,4,,U,0,3,,,
100015573,88613239,1,5,23,M,1,2,,23,0
97066655,86048574,1,5,25,M,2,2,,25,0
88194243,78240882,1,5,44,M,1,2,,,
88199747,78245038,1,5,35,F,2,2,,,
93620389,83071606,1,5,25,F,1,2,,25,0
93620397,83071617,2,5,32,M,2,2,,32,0
93620396,83071617,1,5,46,M,2,2,,46,0
95017413,84272390,1,5,26,M,2,2,,26,0
88245215,78276419,1,5,44,M,0,3,,,
95017422,84272401,1,5,34,M,2,2,,34,0
88148473,78209778,1,4,,U,0,,,,
88148491,78209794,1,5,30,M,2,,,,
93308897,82810037,1,5,38,M,2,2,,38,0
93308896,82810035,1,5,34,M,1,2,,34,0
93308906,82810743,2,5,31,M,1,2,,31,0
93308905,82810743,1,4,,M,1,2,,,
93308907,82810743,3,5,31,M,1,2,,31,0
88137638,78202191,1,5,33,F,2,,,,
88137639,78202192,1,5,34,M,1,,,,
88137640,78202193,1,5,52,M,2,,,,
88137642,78202194,2,4,,U,0,,,,
88137641,78202194,1,5,30,M,1,,,,
88137643,78202195,1,5,43,M,1,,,,
88137644,78202196,1,5,22,M,2,,,,
88137645,78202196,2,5,17,M,2,,,,
88137646,78202197,1,5,53,F,2,,,,
88137647,78202198,1,5,26,F,2,,,,
88137648,78202199,0,,,,,,,,
88137649,78202200,1,5,24,F,2,,,,
88137650,78202201,1,5,26,M,2,,,,
88137651,78202202,1,5,20,M,1,,,,
88137652,78202202,2,5,20,M,1,,,,
88137653,78202203,1,5,18,M,2,,,,
88137654,78202204,1,5,27,M,1,,,,
88137655,78202205,1,5,22,M,1,,,,
88137656,78202206,1,5,20,M,2,,,,
88137657,78202207,1,4,,M,2,2,,,
88137658,78202207,2,4,,M,2,2,,,
88137659,78202208,1,5,16,M,2,,,,
88137660,78202209,1,5,42,M,1,,,,
88137661,78202210,0,,,,,,,,
88137662,78202211,1,5,38,M,2,,,,
88137664,78202213,1,5,14,F,0,,,,
88137665,78202215,0,,,,,,,,
88137666,78202216,1,5,18,F,1,,,,
88137667,78202217,0,,,,,,,,
88137668,78202218,1,5,23,M,2,,,,
88137669,78202219,0,,,,,,,,
88137670,78202220,1,5,30,F,1,,,,
88137671,78202220,2,5,33,M,1,,,,
88137672,78202221,1,5,25,F,1,,,,
88137673,78202222,0,,,,,,,,
88137674,78202223,1,5,32,M,2,,,,
88137675,78202224,1,4,,U,0,,,,
88137676,78202225,1,5,38,M,2,,,,
88137677,78202226,0,,,,,,,,
88137678,78202227,0,,,,,,,,
88137679,78202228,0,,,,,,,,
88139189,78202229,1,5,67,M,1,,,,
88139190,78202230,1,5,25,M,2,,,,
88139191,78202231,1,4,,F,2,,,,
88139192,78202232,1,5,70,M,1,,,,
88139193,78202233,1,5,55,F,1,,,,
88139194,78202234,1,4,,M,1,,,,
88139195,78202235,0,,,,,,,,
88139196,78202236,0,,,,,,,,
88141064,78203435,1,5,40,F,1,,,,
88141065,78203436,1,5,42,M,1,,,,
88141066,78203437,1,5,24,F,1,,,,
88141067,78203438,1,5,31,F,2,,,,
88141068,78203439,1,5,18,F,2,,,,
88141069,78203440,1,5,26,M,2,,,,
88141070,78203441,1,5,22,F,2,,,,
88141073,78203441,4,5,37,F,2,,,,
88141071,78203441,2,4,,F,2,,,,
88141072,78203441,3,4,,F,2,,,,
88141074,78203442,1,4,,M,1,,,,
88141075,78203442,2,5,24,M,1,,,,
88141076,78203442,3,5,19,M,1,,,,
88141077,78203442,4,5,19,M,1,,,,
88141078,78203443,1,5,19,F,2,,,,
88141079,78203443,2,5,19,F,2,,,,
88141080,78203443,3,5,19,F,2,,,,
88141081,78203444,1,5,17,M,1,,,,
88141082,78203445,1,5,38,F,1,,,,
88141083,78203446,0,,,,,,,,
88141084,78203447,1,5,29,F,1,,,,
88141085,78203447,2,5,42,M,1,,,,
88141086,78203448,0,,,,,,,,
88141087,78203449,0,,,,,,,,
88141088,78203450,1,5,35,F,2,,,,
88141089,78203450,2,5,12,M,2,,,,
88141090,78203451,1,4,,M,0,,,,
88141091,78203451,2,4,,M,0,,,,
88141092,78203452,0,,,,,,,,
88141093,78203454,1,5,17,M,2,2,,,
88141094,78203454,2,5,24,M,2,2,,,
88141095,78203454,3,5,25,F,2,2,,,
88141096,78203454,4,5,25,F,2,2,,,
88141097,78203454,5,5,19,F,2,2,,,
88141098,78203454,6,5,25,F,2,2,,,
88141099,78203454,7,5,25,F,2,2,,,
88141100,78203454,8,5,25,M,2,2,,,
88141101,78203455,0,,,,,,,,
88141102,78203456,1,5,35,M,1,,,,
88141103,78203457,1,5,31,M,1,,,,
88141104,78203458,1,5,20,M,2,,,,
88141105,78203458,2,5,25,F,2,,,,
88141106,78203458,3,5,28,M,2,,,,
88141107,78203459,1,5,29,F,1,,,,
88141108,78203459,2,5,33,M,1,,,,
88141109,78203459,3,5,35,M,1,,,,
88141110,78203460,1,4,,F,0,,,,
88141111,78203460,2,4,,M,0,,,,
88141112,78203460,3,4,,M,0,,,,
88141113,78203461,0,,,,,,,,
88141114,78203462,0,,,,,,,,
88141118,78203465,1,5,17,F,1,,,,
88141119,78203466,0,,,,,,,,
88139197,78202237,1,5,31,F,1,,,,
88139198,78202237,2,5,31,F,1,,,,
88139199,78202238,1,5,22,M,1,,,,
88139200,78202239,1,5,21,M,2,,,,
88139201,78202240,1,5,38,M,1,,,,
88139202,78202240,2,5,38,F,1,,,,
88139203,78202241,1,5,39,F,2,,,,
88139204,78202241,2,5,27,F,2,,,,
88139205,78202242,1,5,32,M,2,,,,
88139206,78202243,1,5,32,M,2,,,,
94579849,83894588,1,5,24,M,2,2,,24,0
88139330,78203268,1,5,27,M,1,,,,
88139331,78203269,1,5,23,F,2,,,,
88139332,78203270,0,,,,,,,,
88139333,78203271,1,4,,U,0,,,,
88139335,78203273,1,5,31,F,1,,,,
88139336,78203274,1,4,,U,0,,,,
88139337,78203275,1,4,,U,0,3,,,
88139338,78203276,0,,,,,,,,
88139339,78203277,1,5,40,F,1,,,,
88139340,78203278,1,5,31,F,1,,,,
88139341,78203279,1,5,39,M,2,,,,
