incident_id,age_num,sex_code,race_id,offense_type_id,location_id
78195687,19.0,M,1.0,16,18
78195689,25.0,M,1.0,11,20
78195690,23.0,M,2.0,5,18
78195690,25.0,M,2.0,5,18
78195691,42.0,F,2.0,27,20
78195704,57.0,F,2.0,51,13
78196679,23.0,F,1.0,41,20
78196679,23.0,F,2.0,41,20
78197810,29.0,M,2.0,16,13
78198932,48.0,M,1.0,27,20
78198933,-1.0,M,1.0,51,3
78198933,-1.0,M,2.0,51,3
78198934,-1.0,U,0.0,27,13
78198935,-1.0,U,0.0,45,13
78198935,-1.0,U,0.0,21,20
78198935,-1.0,M,0.0,45,13
78198935,-1.0,M,0.0,21,20
78198935,-1.0,F,0.0,45,13
78198935,-1.0,F,0.0,21,20
78198935,-1.0,F,0.0,45,13
78198935,-1.0,F,0.0,21,20
78198935,-1.0,M,2.0,45,13
78198935,-1.0,M,2.0,21,20
78198937,-1.0,U,0.0,27,20
78198937,-1.0,U,0.0,5,20
78198938,44.0,M,2.0,51,13
78198939,35.0,M,1.0,5,20
78198940,45.0,M,2.0,51,20
78198941,29.0,M,1.0,51,20
78198942,47.0,M,2.0,51,20
78198943,23.0,M,2.0,51,20
78198944,29.0,M,1.0,51,20
78198944,29.0,M,1.0,51,20
78198945,47.0,M,1.0,45,23
78198946,37.0,M,2.0,51,20
78198946,37.0,M,2.0,49,20
78198946,37.0,M,2.0,5,20
78198947,-1.0,M,0.0,11,20
78198948,16.0,M,2.0,51,20
78198948,16.0,M,2.0,5,20
78198949,20.0,M,2.0,23,7
78198950,-1.0,U,0.0,14,13
78198950,-1.0,U,0.0,21,13
78198950,-1.0,U,0.0,5,13
78198952,28.0,M,2.0,51,20
78198953,50.0,M,2.0,51,13
78198954,27.0,M,2.0,51,20
78198955,29.0,F,1.0,46,20
78198955,-1.0,M,0.0,46,20
78198956,20.0,M,2.0,45,23
78198957,19.0,M,2.0,21,13
78198957,-1.0,U,0.0,21,13
78198957,-1.0,U,0.0,21,13
78198958,35.0,M,1.0,23,12
78198959,20.0,M,2.0,51,20
78198959,38.0,F,2.0,51,20
78198960,25.0,M,2.0,45,20
78198961,27.0,M,2.0,51,20
78198961,27.0,M,2.0,5,20
78198963,31.0,M,2.0,51,20
78198964,25.0,M,2.0,51,20
78198965,-1.0,U,0.0,27,20
78198965,-1.0,U,0.0,5,20
78198967,47.0,M,2.0,40,13
78198968,35.0,M,2.0,51,20
78198970,22.0,F,1.0,45,20
78198973,-1.0,U,0.0,27,20
78198973,-1.0,U,0.0,5,20
78198974,38.0,M,2.0,45,20
78198975,27.0,M,2.0,51,13
78198976,-1.0,M,1.0,49,20
78198976,-1.0,M,1.0,5,20
78198976,-1.0,M,1.0,49,20
78198976,-1.0,M,1.0,5,20
78198977,38.0,M,2.0,51,20
78198978,25.0,M,1.0,27,20
78198981,-1.0,U,0.0,39,13
