offender_id,incident_id,offender_seq_num,age_id,age_num,sex_code,race_id,ethnicity_id,ff_line_number,age_range_low_num,age_range_high_num
79913872,70895144,2,5,22,M,1,,,,
79913871,70895144,1,5,21,M,1,,,,
79913873,70895151,1,5,31,M,2,,,,
79921447,70904041,1,5,31,M,2,,,,
79921449,70904042,2,5,14,F,2,,,,
79921448,70904042,1,5,15,F,2,,,,
79921451,70904043,2,5,48,M,2,,,,
79921450,70904043,1,5,45,M,2,,,,
79921452,70904044,1,5,32,M,2,,,,
79921455,70904045,3,5,20,M,1,,,,
79921454,70904045,2,5,20,M,1,,,,
79921453,70904045,1,5,20,M,1,,,,
79921456,70904046,0,,,,,,,,
79921457,70904047,1,5,25,M,1,,,,
79921458,70904049,1,4,,U,0,,,,
79921459,70904050,1,5,40,M,1,,,,
79921460,70904051,1,5,72,M,1,,,,
79921461,70904051,2,5,51,F,2,,,,
79921462,70904052,1,5,25,M,2,,,,
79921463,70904053,1,4,,M,1,,,,
79921464,70904054,1,5,31,M,2,,,,
79921465,70904055,1,4,,U,0,,,,
79921467,70904056,2,5,19,M,2,,,,
79921466,70904056,1,5,18,F,2,,,,
79921468,70904057,1,4,,U,0,,,,
79913905,70897797,1,5,22,M,2,,,,
79913906,70897798,1,5,55,M,1,,,,
79913907,70897798,2,5,44,M,1,,,,
79913909,70897799,2,5,54,M,2,,,,
79913908,70897799,1,5,40,F,2,,,,
79913910,70897800,1,5,54,M,2,,,,
79913911,70897801,1,5,30,M,2,,,,
79913912,70897802,0,,,,,,,,
79913913,70897804,1,5,48,M,1,,,,
79913915,70897807,1,5,32,F,2,,,,
79913916,70897808,1,5,22,M,1,,,,
79913917,70897809,1,5,24,M,1,,,,
79913918,70897810,1,4,,U,0,,,,
79913919,70897811,1,5,23,M,2,,,,
79913920,70897812,1,5,51,M,1,,,,
79913921,70897813,1,5,25,M,1,,,,
79913922,70897814,1,5,22,M,2,,,,
79913923,70897815,1,4,,M,2,,,,
79913925,70897816,2,5,37,M,2,,,,
79913924,70897816,1,5,30,M,2,,,,
79913926,70897817,1,5,20,M,1,,,,
79913927,70897818,1,5,28,M,2,,,,
79913928,70897819,1,5,30,M,1,,,,
79913929,70897820,1,5,36,M,2,,,,
79913930,70897821,1,5,27,F,2,,,,
79913931,70897822,1,5,27,M,1,,,,
79913932,70897823,1,5,22,M,2,,,,
79913933,70897824,1,5,24,M,1,,,,
79913934,70897826,1,4,,M,1,,,,
79913935,70897827,1,5,42,M,2,,,,
79913936,70897828,1,5,53,M,1,,,,
79913937,70897829,0,,,,,,,,
79913938,70897830,0,,,,,,,,
79913939,70897831,1,5,24,F,1,,,,
79913940,70897832,1,5,21,M,2,,,,
79913941,70897833,1,5,24,M,2,,,,
79913942,70897834,1,5,24,M,1,,,,
79913944,70897835,2,5,18,F,1,,,,
79913943,70897835,1,5,20,M,2,,,,
79913945,70897836,1,4,,U,0,,,,
79913946,70897837,1,5,17,M,1,,,,
79913947,70897838,0,,,,,,,,
79913948,70897839,1,4,,U,0,,,,
79913949,70897840,1,5,20,M,1,,,,
79913950,70897841,0,,,,,,,,
79913951,70897842,1,5,37,M,1,,,,
79913952,70897843,1,5,25,M,1,,,,
79913953,70897844,0,,,,,,,,
79913954,70897845,0,,,,,,,,
79913955,70897846,1,5,32,M,1,,,,
79913956,70897847,1,5,35,F,2,,,,
79913957,70897848,1,5,51,M,1,,,,
79913958,70897849,1,4,,M,2,,,,
79913960,70897850,2,5,15,F,1,,,,
79913959,70897850,1,5,30,F,1,,,,
79913961,70897851,1,4,,U,0,,,,
79913962,70897852,0,,,,,,,,
79913963,70897853,1,4,,M,1,,,,
79913964,70897854,1,5,51,M,2,,,,
79913965,70897855,1,5,20,M,2,,,,
79913966,70897856,1,5,27,M,2,,,,
79913967,70897857,1,5,26,F,1,,,,
79913968,70897858,1,5,53,M,2,,,,
79913971,70897859,3,5,20,M,2,,,,
79913969,70897859,1,5,42,M,2,,,,
79913970,70897859,2,5,19,F,1,,,,
79913972,70897860,0,,,,,,,,
79913973,70897861,1,5,26,M,2,,,,
79913974,70897862,0,,,,,,,,
79913975,70897863,1,5,49,M,2,,,,
79913976,70897864,0,,,,,,,,
79913977,70897865,1,5,19,M,1,,,,
79913978,70897866,1,5,36,M,1,,,,
79913979,70897867,1,5,39,M,1,,,,
79913980,70897868,1,5,38,M,1,,,,
79913981,70897869,0,,,,,,,,
79913982,70897870,1,5,19,M,2,,,,
79913983,70897871,1,4,,U,0,,,,
79913984,70897872,1,4,,F,1,,,,
79913985,70897873,1,5,29,M,2,,,,
