incident_id,age_num,sex_code,race_id,offense_type_id,location_id
70894294,40.0,M,1.0,27,20
70894295,29.0,M,1.0,51,20
70894296,37.0,M,1.0,16,11
70894296,37.0,M,1.0,39,11
70894297,63.0,M,1.0,51,20
70894298,36.0,M,1.0,51,20
70894299,43.0,M,1.0,16,18
70894299,43.0,M,1.0,39,18
70894300,43.0,M,1.0,16,18
70894300,43.0,M,1.0,39,18
70894301,26.0,M,1.0,51,20
70894302,34.0,M,1.0,16,18
70894302,34.0,M,1.0,16,18
70894303,34.0,M,1.0,16,13
70894304,27.0,M,1.0,51,20
70894304,27.0,M,1.0,16,20
70894304,25.0,M,1.0,51,20
70894304,25.0,M,1.0,16,20
70894305,57.0,M,2.0,16,20
70894307,29.0,M,2.0,49,20
70894307,29.0,M,2.0,5,20
70894308,35.0,M,2.0,16,20
70894309,21.0,F,2.0,51,20
70894310,21.0,M,2.0,16,13
70894311,24.0,F,1.0,51,21
70894311,24.0,F,1.0,5,21
70894312,45.0,F,2.0,51,20
70895041,21.0,M,2.0,51,20
70895041,21.0,M,2.0,5,20
70895043,28.0,M,1.0,16,13
70895044,21.0,F,2.0,45,23
70895044,21.0,F,2.0,45,23
70895045,39.0,M,1.0,51,20
70895045,39.0,M,1.0,5,20
70895046,22.0,M,2.0,51,20
70895046,22.0,M,2.0,45,20
70895048,25.0,M,2.0,51,20
70895049,25.0,M,1.0,27,13
70895049,25.0,M,1.0,44,13
70895050,23.0,M,2.0,16,13
70895051,31.0,M,2.0,51,20
70895095,28.0,M,2.0,51,20
70895107,28.0,F,1.0,30,18
70895144,22.0,M,1.0,35,20
70895144,22.0,M,1.0,39,20
70895144,21.0,M,1.0,35,20
70895144,21.0,M,1.0,39,20
70895151,31.0,M,2.0,51,20
70895151,31.0,M,2.0,5,20
70895183,57.0,M,1.0,30,13
70895183,32.0,F,1.0,30,13
70896040,38.0,M,2.0,51,20
70896040,38.0,M,2.0,5,20
70896055,23.0,M,2.0,29,20
70896055,23.0,M,2.0,51,20
70896055,23.0,M,2.0,5,13
70896832,40.0,M,1.0,16,18
70896832,40.0,M,1.0,16,18
70896832,59.0,M,2.0,16,18
70896832,52.0,F,2.0,16,18
70896832,57.0,M,2.0,16,18
70896832,52.0,F,2.0,16,18
70896832,50.0,F,2.0,16,18
70896832,59.0,M,2.0,16,18
70896972,24.0,M,2.0,5,18
70897733,19.0,M,2.0,45,20
70897784,-1.0,U,0.0,27,20
70897784,-1.0,U,0.0,5,20
70897785,25.0,M,1.0,27,13
70897785,-1.0,M,1.0,27,13
70897786,30.0,M,1.0,51,20
70897787,22.0,F,2.0,51,3
70897787,24.0,M,2.0,51,3
70897788,29.0,F,2.0,51,20
70897789,-1.0,U,0.0,27,13
70897790,21.0,F,2.0,5,20
70897791,16.0,M,1.0,51,20
70897792,28.0,M,2.0,5,20
70897793,37.0,M,2.0,51,20
70897794,-1.0,U,0.0,27,46
70897795,26.0,M,2.0,51,20
70897796,-1.0,M,0.0,45,23
70897797,22.0,M,2.0,5,20
70897798,55.0,M,1.0,51,13
70897798,44.0,M,1.0,51,13
70897799,54.0,M,2.0,51,20
70897799,40.0,F,2.0,51,20
70897800,54.0,M,2.0,51,20
70897801,30.0,M,2.0,40,18
70897804,48.0,M,1.0,5,21
70897806,27.0,M,2.0,27,20
70897806,27.0,M,2.0,51,20
70897806,27.0,M,2.0,49,20
70897807,32.0,F,2.0,51,8
70897808,22.0,M,1.0,51,20
70897809,24.0,M,1.0,35,21
70897810,-1.0,U,0.0,27,20
70897810,-1.0,U,0.0,5,20
70897811,23.0,M,2.0,29,20
70897811,23.0,M,2.0,51,20
70897811,23.0,M,2.0,16,20
70897811,23.0,M,2.0,39,20
70897812,51.0,M,1.0,51,14
70897813,25.0,M,1.0,11,20
70897814,22.0,M,2.0,51,20
70897815,-1.0,M,2.0,45,23
70897816,37.0,M,2.0,49,8
70897816,30.0,M,2.0,49,8
70897817,20.0,M,1.0,5,20
70897818,28.0,M,2.0,51,20
70897819,30.0,M,1.0,40,24
70897820,36.0,M,2.0,23,8
70897821,27.0,F,2.0,44,20
70897822,27.0,M,1.0,35,11
70897823,22.0,M,2.0,44,20
70897823,22.0,M,2.0,45,20
70897824,24.0,M,1.0,51,20
70897826,-1.0,M,1.0,45,23
70897827,42.0,M,2.0,16,20
70897828,53.0,M,1.0,51,20
70897831,24.0,F,1.0,5,20
70897832,21.0,M,2.0,8,20
70897833,24.0,M,2.0,51,20
70897834,24.0,M,1.0,51,20
70897835,18.0,F,1.0,5,20
70897835,20.0,M,2.0,5,20
70897836,-1.0,U,0.0,14,20
70897836,-1.0,U,0.0,5,13
70897837,17.0,M,1.0,51,20
70897839,-1.0,U,0.0,45,23
70897840,20.0,M,1.0,16,13
