offender_id,incident_id,offender_seq_num,age_id,age_num,sex_code,race_id,ethnicity_id,ff_line_number,age_range_low_num,age_range_high_num
59661444,52979255,0,,,,,,,,
59661445,52979256,0,,,,,,,,
59661528,52979331,0,,,,,,,,
59661542,52979341,1,5,44,M,1,,,,
59661545,52979344,1,5,20,M,2,,,,
59661549,52979346,3,5,20,M,1,,,,
59661548,52979346,2,5,20,M,1,,,,
59661547,52979346,1,5,28,M,1,,,,
59661550,52979347,0,,,,,,,,
59661551,52979348,1,5,37,M,1,,,,
59661572,52979360,1,4,,M,0,,,,
59661579,52979366,1,5,23,M,1,,,,
59663277,52981144,1,5,37,M,1,,,,
59663279,52981146,0,,,,,,,,
59663280,52981147,0,,,,,,,,
59663281,52981148,1,5,12,M,1,,,,
59663282,52981149,0,,,,,,,,
59663285,52981152,1,5,56,M,1,,,,
59661587,52980174,1,5,26,M,1,,,,
59661588,52980175,1,5,22,M,1,,,,
59661595,52980182,1,5,25,M,1,,,,
59661596,52980183,0,,,,,,,,
59661597,52980184,1,5,12,M,2,,,,
59661604,52980189,3,5,22,F,1,,,,
59661603,52980189,2,5,31,M,1,,,,
59661602,52980189,1,5,26,M,1,,,,
59661613,52980196,1,5,28,M,2,,,,
59661617,52980200,0,,,,,,,,
59661629,52980212,1,5,13,M,1,,,,
59663147,52980224,1,5,48,F,2,,,,
59663240,52980306,1,5,20,M,2,,,,
59663251,52980316,1,5,18,M,1,,,,
59663262,52980326,1,4,,M,0,,,,
59663264,52980327,2,5,41,M,2,,,,
59663263,52980327,1,5,25,F,2,,,,
59522308,52869095,1,5,21,M,2,,,,
59522309,52869107,1,5,29,F,1,,,,
59529827,52876941,1,5,50,F,1,,,,
59529828,52876942,1,5,30,F,1,,,,
59529829,52876943,1,5,41,M,2,,,,
59529830,52876944,1,5,15,M,1,,,,
59529831,52876945,1,5,24,F,1,,,,
59529832,52876946,1,5,29,M,1,,,,
59533358,52878925,0,,,,,,,,
59533359,52878926,1,5,29,M,1,,,,
59533360,52878927,0,,,,,,,,
59533362,52878929,1,4,,U,0,,,,
59533365,52878932,0,,,,,,,,
59533367,52878934,0,,,,,,,,
59531545,52877894,0,,,,,,,,
59531546,52877895,0,,,,,,,,
59531547,52877896,0,,,,,,,,
59531548,52877897,1,4,,U,0,,,,
59531549,52877898,1,4,,U,0,,,,
59531550,52877899,1,4,,U,0,,,,
59531551,52877900,1,5,19,M,2,,,,
59531552,52877901,1,5,24,M,2,,,,
59531553,52877902,1,5,45,F,1,,,,
59531554,52877903,0,,,,,,,,
59531555,52877904,1,5,33,M,1,,,,
59531557,52877906,1,5,25,M,2,,,,
59531558,52877907,1,4,,U,0,,,,
59531559,52877908,1,5,12,M,2,,,,
59531560,52877909,1,5,11,M,1,,,,
59531561,52877911,1,5,16,M,2,,,,
59531562,52877912,1,5,20,M,2,,,,
59531564,52877913,2,5,19,U,0,,,,
59531563,52877913,1,5,19,U,0,,,,
59531566,52877914,2,5,55,F,2,,,,
59531565,52877914,1,5,29,F,2,,,,
59531567,52877915,1,5,15,F,1,,,,
59531568,52877916,0,,,,,,,,
59531569,52877917,1,5,41,F,2,,,,
59531571,52877918,2,5,59,M,2,,,,
59531570,52877918,1,5,39,M,2,,,,
59531572,52877919,1,5,30,M,1,,,,
59531573,52877920,1,5,59,M,2,,,,
59531575,52877921,2,5,15,M,2,,,,
59531574,52877921,1,5,16,M,2,,,,
59531576,52877922,1,5,32,F,0,,,,
59531577,52877923,0,,,,,,,,
59531579,52877924,2,5,19,M,2,,,,
59531578,52877924,1,5,22,M,2,,,,
59531580,52877925,0,,,,,,,,
59531581,52877926,1,5,45,M,2,,,,
59531582,52877927,1,5,24,M,1,,,,
59531583,52877928,1,4,,U,0,,,,
59531585,52877929,2,5,47,M,2,,,,
59531584,52877929,1,5,40,F,2,,,,
59531587,52877930,2,5,17,M,1,,,,
59531586,52877930,1,5,18,M,2,,,,
59531588,52877931,1,4,,U,0,,,,
59531589,52877932,1,5,37,M,2,,,,
59531590,52877933,1,4,,U,0,,,,
59531592,52877934,2,5,19,M,2,,,,
59531591,52877934,1,5,16,M,2,,,,
59531593,52877935,1,5,31,M,1,,,,
59531594,52877936,1,4,,U,0,,,,
59531595,52877937,1,5,39,F,2,,,,
59531596,52877938,1,5,32,F,1,,,,
59531597,52877939,1,5,32,M,1,,,,
59531598,52877940,1,5,28,F,2,,,,
59531599,52877941,1,5,41,M,1,,,,
59531600,52877942,1,4,,M,2,,,,
59531605,52877943,5,5,25,M,2,,,,
59531604,52877943,4,5,20,M,2,,,,
59531603,52877943,3,5,17,M,2,,,,
59531606,52877943,6,5,20,F,1,,,,
59531602,52877943,2,5,29,F,1,,,,
59531601,52877943,1,5,19,F,1,,,,
59531607,52877944,1,5,28,M,2,,,,
59531608,52877945,1,4,,M,2,,,,
59531609,52877946,1,5,24,M,2,,,,
59531610,52877947,1,5,21,M,1,,,,
59531611,52877948,0,,,,,,,,
59531612,52877949,1,5,30,M,1,,,,
59531613,52877950,1,5,41,M,1,,,,
59531614,52877951,0,,,,,,,,
59531615,52877952,1,5,42,M,1,,,,
59531617,52877953,2,5,18,F,1,,,,
59531616,52877953,1,5,26,F,1,,,,
59531618,52877954,0,,,,,,,,
59531619,52877955,1,5,26,F,2,,,,
59541072,52886617,1,5,26,F,1,,,,
59567130,52906234,0,,,,,,,,
59522282,52868160,1,5,32,M,1,,,,
59522298,52868175,1,5,41,M,1,,,,
59531620,52877956,0,,,,,,,,
59531621,52877957,1,4,,M,2,,,,
59531622,52877958,1,5,25,M,1,,,,
59551998,52894434,1,5,18,F,1,,,,
59542906,52887679,2,5,31,M,1,,,,
59542905,52887679,1,5,31,M,1,,,,
59528008,52875913,1,6,,U,0,,,,
59528009,52875914,1,4,,U,0,,,,
59528010,52875915,1,5,33,M,2,,,,
59528012,52875916,2,5,17,F,1,,,,
59528011,52875916,1,5,19,M,1,,,,
59528013,52875917,1,5,60,M,1,,,,
59528014,52875918,1,5,33,M,1,,,,
59528015,52875919,1,5,16,F,1,,,,
59528016,52875920,0,,,,,,,,
59528017,52875921,1,5,20,M,2,,,,
