incident_id,age_num,sex_code,race_id,offense_type_id,location_id
52868124,15.0,M,2.0,51,22
52868124,15.0,M,1.0,51,22
52868125,32.0,F,1.0,41,20
52868126,20.0,M,2.0,27,20
52868126,20.0,M,2.0,5,20
52868127,33.0,M,1.0,5,13
52868127,33.0,M,1.0,27,13
52868128,37.0,M,2.0,27,20
52868129,34.0,M,1.0,51,20
52868130,31.0,M,2.0,51,20
52868131,30.0,M,2.0,51,13
52868132,28.0,F,1.0,23,12
52868133,35.0,F,1.0,35,13
52868134,35.0,M,2.0,27,20
52868135,37.0,M,2.0,27,15
52868135,30.0,M,2.0,27,15
52868136,23.0,M,1.0,51,20
52868137,45.0,M,2.0,51,20
52868156,51.0,M,1.0,51,21
52868160,32.0,M,1.0,51,13
52868169,33.0,M,2.0,51,20
52868174,24.0,M,2.0,16,5
52868174,24.0,M,2.0,39,24
52868174,26.0,M,2.0,16,5
52868174,26.0,M,2.0,39,24
52868174,24.0,M,2.0,16,5
52868174,24.0,M,2.0,39,24
52868174,20.0,M,2.0,16,5
52868174,20.0,M,2.0,39,24
52868174,21.0,M,2.0,16,5
52868174,21.0,M,2.0,39,24
52868174,20.0,M,2.0,16,5
52868174,20.0,M,2.0,39,24
52868174,20.0,M,2.0,16,5
52868174,20.0,M,2.0,39,24
52868174,46.0,M,2.0,16,5
52868174,46.0,M,2.0,39,24
52868174,45.0,M,2.0,16,5
52868174,45.0,M,2.0,39,24
52868174,25.0,M,2.0,16,5
52868174,25.0,M,2.0,39,24
52868174,30.0,M,2.0,16,5
52868174,30.0,M,2.0,39,24
52868174,20.0,M,2.0,16,5
52868174,20.0,M,2.0,39,24
52868174,22.0,F,2.0,16,5
52868174,22.0,F,2.0,39,24
52868174,20.0,F,1.0,16,5
52868174,20.0,F,1.0,39,24
52868175,41.0,M,1.0,51,20
52868175,41.0,M,1.0,16,20
52868175,41.0,M,1.0,39,20
52868192,28.0,M,2.0,16,13
52869015,21.0,M,2.0,51,20
52869019,45.0,F,1.0,35,13
52869022,52.0,M,1.0,51,20
52869029,42.0,M,1.0,5,20
52869039,45.0,M,1.0,51,20
52869041,20.0,M,1.0,5,13
52869053,21.0,M,2.0,51,22
52869056,22.0,M,2.0,51,13
52869095,21.0,M,2.0,51,20
52869107,29.0,F,1.0,51,20
52870021,52.0,M,1.0,45,25
52870021,52.0,M,1.0,37,25
52870061,30.0,M,2.0,16,21
52870061,57.0,M,1.0,16,21
52870061,47.0,M,1.0,16,21
52870061,35.0,M,1.0,16,21
52870061,57.0,M,1.0,16,21
52870136,21.0,M,1.0,16,20
52870136,18.0,M,1.0,16,20
52870948,30.0,M,2.0,49,20
52870948,30.0,M,2.0,5,20
52870948,16.0,M,2.0,49,20
52870948,16.0,M,2.0,5,20
52870966,24.0,M,1.0,51,20
52870966,24.0,M,1.0,5,20
52871011,27.0,F,2.0,11,5
52871018,24.0,M,1.0,51,3
52871018,25.0,M,1.0,51,3
52871018,55.0,M,1.0,51,3
52871019,29.0,M,1.0,27,3
52871019,29.0,M,1.0,14,18
52871020,21.0,M,2.0,51,3
