incident_id,age_num,sex_code,race_id,offense_type_id,location_id
65792380,19.0,F,1.0,20,20
65792381,33.0,M,1.0,51,41
65792382,22.0,M,2.0,32,20
65792382,22.0,M,2.0,32,20
65792383,52.0,M,2.0,51,20
65792384,29.0,F,1.0,11,25
65792385,22.0,F,2.0,51,22
65792386,25.0,M,2.0,51,13
65792386,25.0,M,2.0,16,13
65792387,22.0,F,1.0,30,13
65792388,21.0,M,2.0,16,20
65792389,24.0,F,2.0,27,20
65792390,27.0,M,2.0,51,20
65792390,27.0,M,2.0,45,20
65792391,20.0,M,2.0,51,20
65792392,23.0,F,2.0,11,12
65792394,45.0,M,2.0,27,20
65792395,19.0,F,2.0,51,13
65792395,19.0,F,2.0,5,18
65792396,22.0,M,2.0,51,20
65792397,22.0,M,1.0,5,18
65792398,26.0,M,2.0,51,20
65792399,24.0,F,2.0,51,13
65792400,44.0,M,2.0,35,20
65792401,22.0,F,2.0,45,8
65792401,22.0,F,2.0,11,8
65792402,24.0,F,1.0,45,8
65792419,24.0,M,2.0,51,20
65792419,24.0,M,2.0,16,20
65792472,26.0,M,2.0,27,20
65792480,37.0,M,2.0,5,20
65794470,-1.0,U,0.0,46,20
65794497,20.0,M,2.0,16,20
65794519,29.0,M,1.0,39,13
65794520,29.0,M,2.0,44,20
65794520,29.0,M,2.0,5,20
65794521,26.0,M,2.0,5,20
65794522,24.0,M,2.0,51,20
65794523,20.0,M,1.0,49,20
65794523,20.0,M,1.0,5,20
65794524,69.0,M,1.0,51,20
65794525,21.0,M,1.0,23,7
65794525,29.0,M,1.0,23,7
65794526,19.0,M,1.0,14,20
65794527,19.0,M,1.0,14,20
65794527,19.0,M,1.0,5,20
65794528,41.0,F,1.0,51,3
65794528,41.0,F,1.0,45,3
65794529,30.0,F,2.0,27,20
65794530,55.0,F,2.0,5,20
65794531,29.0,M,2.0,40,13
65794531,24.0,M,2.0,40,13
65794531,25.0,M,2.0,40,13
65794532,22.0,M,1.0,20,20
65794532,22.0,M,1.0,20,20
65794533,-1.0,F,2.0,5,13
65794533,-1.0,F,2.0,5,13
65794533,35.0,F,2.0,5,13
65794533,-1.0,M,2.0,5,13
65794534,48.0,M,2.0,51,20
65794534,-1.0,U,0.0,51,20
65794535,27.0,M,1.0,51,20
65794535,27.0,M,1.0,5,20
65794535,27.0,M,1.0,51,20
65794535,27.0,M,1.0,5,20
65794536,25.0,F,1.0,5,20
65794537,20.0,M,2.0,27,20
65794538,23.0,M,2.0,51,20
65794538,28.0,F,2.0,51,20
65794538,30.0,F,2.0,51,20
65794539,20.0,M,1.0,27,13
65794539,20.0,M,1.0,27,13
65794539,20.0,M,1.0,27,13
65794540,29.0,F,1.0,5,20
65794541,-1.0,U,0.0,27,20
65794541,-1.0,U,0.0,5,20
65794542,32.0,M,2.0,45,14
65794543,41.0,M,2.0,27,13
65794543,-1.0,M,0.0,27,13
65794544,24.0,M,1.0,45,23
65794546,24.0,M,1.0,45,23
65794547,24.0,M,2.0,5,20
65794548,28.0,M,2.0,51,20
65794549,34.0,M,2.0,49,20
65794549,34.0,M,2.0,5,20
65794549,-1.0,U,0.0,49,20
65794549,-1.0,U,0.0,5,20
65794550,15.0,F,2.0,51,25
65794550,13.0,F,2.0,51,25
65794551,-1.0,U,0.0,27,20
65794551,-1.0,U,0.0,5,20
65794552,30.0,F,1.0,27,13
65794554,-1.0,U,0.0,14,18
65794554,-1.0,U,0.0,5,18
65794555,-1.0,U,0.0,14,18
65794556,21.0,M,1.0,16,20
65794556,21.0,M,1.0,35,20
65794556,21.0,M,1.0,39,20
65794557,20.0,M,2.0,27,20
65794557,20.0,M,2.0,45,20
65794557,20.0,M,2.0,5,20
65794558,41.0,F,1.0,23,12
65794559,48.0,M,1.0,51,20
65794560,10.0,F,1.0,56,20
65794562,25.0,F,1.0,5,20
65794564,-1.0,M,1.0,7,20
65794564,-1.0,U,0.0,7,20
65794565,32.0,M,2.0,40,13
65794566,43.0,M,1.0,44,20
65794567,-1.0,M,0.0,49,3
65794567,-1.0,M,0.0,5,3
65794569,-1.0,M,1.0,49,3
65794569,-1.0,M,1.0,5,3
65794571,-1.0,U,0.0,49,20
65794572,-1.0,U,0.0,21,20
65794573,26.0,M,1.0,51,20
65794574,55.0,M,1.0,45,23
65794575,32.0,F,2.0,2,12
65794578,14.0,M,1.0,5,20
65794579,55.0,F,1.0,5,20
65794580,-1.0,F,1.0,45,23
65794581,27.0,F,2.0,51,25
65794581,27.0,F,2.0,11,25
65794582,26.0,M,2.0,44,20
65794582,26.0,M,2.0,45,20
65794583,23.0,M,1.0,40,8
65794584,-1.0,M,0.0,27,13
65794584,-1.0,M,0.0,27,13
65794585,20.0,M,0.0,49,20
65794585,20.0,M,0.0,5,20
65794585,20.0,M,0.0,49,20
65794585,20.0,M,0.0,5,20
65794586,16.0,M,1.0,16,18
65794586,16.0,M,1.0,35,18
65794586,18.0,M,1.0,16,18
65794586,18.0,M,1.0,35,18
65794586,13.0,M,1.0,16,18
65794586,13.0,M,1.0,35,18
65794586,19.0,M,1.0,16,18
65794586,19.0,M,1.0,35,18
65794586,19.0,M,1.0,16,18
65794586,19.0,M,1.0,35,18
65794586,17.0,M,1.0,16,18
65794586,17.0,M,1.0,35,18
65794588,41.0,F,5.0,16,13
65794590,19.0,M,2.0,51,3
65794591,14.0,M,2.0,5,20
65794592,20.0,M,2.0,16,13
65794592,20.0,M,2.0,39,13
65794593,-1.0,M,2.0,51,18
65794593,-1.0,M,2.0,51,18
65794593,-1.0,M,2.0,51,18
65794594,-1.0,U,0.0,49,20
65794594,-1.0,U,0.0,5,20
65794595,28.0,F,2.0,51,20
65794595,28.0,F,2.0,5,20
65794596,-1.0,M,1.0,36,13
65795502,41.0,M,1.0,21,13
65795504,19.0,M,2.0,5,20
65795508,-1.0,U,0.0,14,20
65795510,31.0,F,2.0,45,8
65795511,36.0,M,1.0,45,6
65795512,12.0,M,1.0,39,22
65795513,12.0,M,2.0,23,22
65795514,22.0,M,1.0,23,8
65795515,27.0,M,1.0,23,7
65795516,10.0,M,2.0,27,22
65795516,10.0,M,2.0,39,22
65795517,22.0,M,1.0,23,8
65795518,13.0,M,2.0,51,20
65795519,17.0,M,2.0,49,20
65795522,35.0,M,1.0,44,25
65795524,20.0,M,2.0,45,23
65795525,17.0,M,2.0,40,13
65795525,17.0,M,2.0,40,13
65795525,17.0,M,2.0,40,13
65795525,17.0,M,1.0,40,13
65795525,17.0,M,1.0,40,13
65795526,10.0,M,2.0,51,13
65795527,45.0,F,2.0,45,20
65795527,45.0,F,2.0,16,14
65795527,45.0,F,2.0,35,15
65795528,21.0,M,2.0,51,20
65795529,18.0,M,2.0,40,13
65795529,18.0,M,2.0,40,13
65795529,18.0,M,2.0,40,13
65795530,18.0,M,2.0,51,18
65795530,18.0,M,2.0,5,18
65795530,20.0,M,2.0,51,18
65795530,20.0,M,2.0,5,18
65795531,23.0,M,1.0,23,8
65795532,-1.0,M,2.0,45,23
65795533,19.0,M,1.0,49,20
65795534,30.0,M,1.0,40,21
65795534,25.0,M,1.0,40,21
65795535,25.0,M,1.0,45,20
65795537,34.0,F,2.0,44,20
65795538,22.0,M,1.0,40,7
65795542,34.0,F,1.0,41,3
65795542,31.0,F,1.0,41,3
65795543,18.0,M,2.0,23,7
65795544,33.0,F,2.0,44,20
65795545,32.0,M,2.0,51,18
65795546,31.0,F,1.0,51,20
65795547,27.0,M,2.0,5,20
65795548,20.0,M,2.0,27,13
65795549,25.0,F,1.0,45,23
65795550,24.0,M,1.0,40,8
65795550,19.0,F,1.0,40,8
65795551,24.0,M,1.0,35,13
65795551,24.0,M,1.0,39,13
65795552,20.0,M,2.0,51,20
65795553,40.0,M,2.0,5,13
65795554,28.0,M,1.0,23,8
65795554,25.0,F,1.0,23,8
65795554,25.0,M,1.0,23,8
65795555,46.0,M,2.0,5,20
65795556,14.0,M,1.0,51,22
65795557,47.0,F,2.0,41,20
65795558,37.0,M,1.0,51,20
65795559,-1.0,U,0.0,49,20
65795559,-1.0,U,0.0,5,20
65795560,20.0,M,1.0,51,20
65795561,18.0,M,2.0,40,13
65795561,18.0,M,2.0,40,13
65795561,18.0,M,2.0,40,13
65795562,19.0,F,1.0,23,8
65795563,-1.0,M,2.0,5,20
65795564,21.0,M,1.0,21,20
65795565,27.0,M,2.0,39,20
65795566,18.0,F,1.0,51,20
65795567,51.0,M,1.0,51,20
65795568,26.0,M,2.0,27,20
65795570,15.0,F,1.0,5,20
65795572,-1.0,F,1.0,49,8
65795572,-1.0,F,1.0,5,8
65795573,42.0,M,1.0,51,20
65795574,31.0,M,1.0,5,20
65795574,31.0,M,1.0,16,20
65795574,31.0,M,1.0,35,20
65795574,31.0,M,1.0,39,20
65795576,20.0,F,2.0,5,13
65795577,-1.0,M,0.0,45,18
65795577,-1.0,M,0.0,21,20
65795577,-1.0,M,0.0,28,18
65795577,-1.0,U,0.0,45,18
65795577,-1.0,U,0.0,21,20
65795577,-1.0,U,0.0,28,18
65795577,17.0,M,2.0,45,18
65795577,17.0,M,2.0,21,20
65795577,17.0,M,2.0,28,18
65795577,17.0,M,2.0,45,18
65795577,17.0,M,2.0,21,20
65795577,17.0,M,2.0,28,18
65795578,16.0,M,1.0,49,7
65795578,16.0,M,1.0,5,7
65795578,33.0,M,1.0,49,7
65795578,33.0,M,1.0,5,7
65795579,25.0,M,1.0,39,18
65795580,-1.0,U,0.0,45,18
65795580,-1.0,U,0.0,21,18
65795580,-1.0,U,0.0,5,18
65795581,17.0,M,2.0,45,23
65795583,46.0,M,2.0,51,20
65795584,53.0,M,1.0,23,46
65795586,32.0,M,2.0,45,23
65795587,18.0,M,2.0,16,18
65795587,17.0,M,2.0,16,18
65795587,18.0,M,2.0,16,18
65795588,40.0,M,2.0,51,11
65795589,21.0,M,2.0,5,20
65795591,26.0,M,2.0,45,11
65795592,17.0,F,2.0,44,22
65795592,17.0,F,2.0,16,22
65795592,15.0,F,1.0,44,22
65795592,15.0,F,1.0,16,22
65795593,48.0,M,2.0,51,18
65795593,48.0,M,2.0,23,12
65795593,48.0,M,2.0,35,13
65795594,29.0,M,1.0,23,8
65795594,29.0,M,1.0,35,13
65795595,21.0,F,1.0,51,20
65795597,-1.0,U,0.0,5,20
65795598,-1.0,U,0.0,46,20
65795599,27.0,M,1.0,23,24
65795600,18.0,M,1.0,51,20
65795601,54.0,M,1.0,20,13
65795602,25.0,M,2.0,40,18
65795603,-1.0,M,2.0,45,23
65795604,19.0,M,0.0,51,22
65795604,19.0,M,0.0,51,22
65795604,19.0,M,1.0,51,22
65795606,26.0,M,2.0,44,20
65795606,26.0,M,2.0,45,20
65795606,24.0,M,2.0,44,20
65795606,24.0,M,2.0,45,20
65795608,27.0,M,2.0,32,20
65795608,27.0,M,2.0,44,20
65795608,26.0,M,2.0,32,20
65795608,26.0,M,2.0,44,20
65795608,27.0,M,2.0,32,20
65795608,27.0,M,2.0,44,20
65795609,34.0,M,1.0,44,20
65795609,34.0,M,1.0,5,20
65795610,27.0,M,2.0,51,20
65795611,34.0,M,1.0,5,20
65795611,30.0,M,1.0,5,20
65795612,-1.0,U,0.0,27,20
65795613,-1.0,U,0.0,49,20
65795616,21.0,M,1.0,5,20
65795617,40.0,M,1.0,27,20
65795621,20.0,M,1.0,16,20
65795621,20.0,M,1.0,35,20
65795621,30.0,M,1.0,16,20
65795621,30.0,M,1.0,35,20
65795622,24.0,M,1.0,51,20
65795626,32.0,M,1.0,51,20
65795627,-1.0,U,0.0,40,13
65795627,-1.0,U,0.0,40,13
65795627,-1.0,U,0.0,40,13
65795628,30.0,M,2.0,32,20
65795628,41.0,F,1.0,32,20
65795628,-1.0,U,0.0,32,20
65795629,22.0,F,1.0,44,20
65795630,-1.0,U,0.0,27,20
65795631,23.0,M,1.0,35,13
65795632,28.0,M,1.0,45,20
65795633,25.0,F,1.0,45,20
65795634,44.0,M,2.0,51,22
65795635,-1.0,M,2.0,40,13
65795635,-1.0,M,2.0,40,13
65795636,30.0,F,2.0,45,7
65795637,30.0,M,2.0,16,24
65795638,12.0,M,2.0,51,22
65795641,22.0,M,2.0,51,20
65795641,22.0,M,2.0,5,20
65795642,-1.0,M,1.0,49,20
65795644,17.0,F,2.0,23,46
65795645,35.0,M,0.0,45,23
65795646,33.0,F,1.0,23,8
65795647,-1.0,M,1.0,49,20
65795647,-1.0,M,1.0,21,20
65795647,22.0,M,1.0,49,20
65795647,22.0,M,1.0,21,20
65795648,17.0,M,1.0,45,20
65795649,40.0,M,2.0,35,18
65795650,22.0,M,2.0,16,20
65795651,12.0,F,2.0,51,18
65795652,39.0,M,1.0,51,20
65795653,23.0,F,2.0,51,20
65795653,22.0,M,2.0,51,20
65795654,26.0,M,1.0,45,18
65795655,-1.0,U,0.0,49,20
65795655,-1.0,U,0.0,5,20
65795656,22.0,M,2.0,23,8
65795657,24.0,M,2.0,51,20
65795657,24.0,M,2.0,5,20
65795657,24.0,M,2.0,16,15
65795657,24.0,F,1.0,51,20
65795657,24.0,F,1.0,5,20
65795657,24.0,F,1.0,16,15
65795658,26.0,F,1.0,16,13
65795659,29.0,M,2.0,51,18
65795660,26.0,M,2.0,16,3
65795661,36.0,M,2.0,45,3
65795661,36.0,M,2.0,39,3
65795661,31.0,M,2.0,45,3
65795661,31.0,M,2.0,39,3
65795661,21.0,M,2.0,45,3
65795661,21.0,M,2.0,39,3
65796574,23.0,M,2.0,51,23
65796574,23.0,M,2.0,16,20
65796574,23.0,M,2.0,39,20
65796574,23.0,M,2.0,51,23
65796574,23.0,M,2.0,16,20
65796574,23.0,M,2.0,39,20
65796575,20.0,M,2.0,16,20
65796576,23.0,M,1.0,45,3
65796577,22.0,M,1.0,45,6
65796577,22.0,M,1.0,16,6
65796577,30.0,M,1.0,45,6
65796577,30.0,M,1.0,16,6
65796577,28.0,M,1.0,45,6
65796577,28.0,M,1.0,16,6
65796578,27.0,M,2.0,51,13
65796579,20.0,M,2.0,51,13
65796579,20.0,M,2.0,39,13
65796581,29.0,M,1.0,51,20
65796582,36.0,F,1.0,45,20
65796582,36.0,F,1.0,35,20
65796583,38.0,F,1.0,51,18
65796583,38.0,F,1.0,5,18
65796584,30.0,F,2.0,5,20
65796585,18.0,M,1.0,51,20
65796585,18.0,M,1.0,5,20
65796586,30.0,M,2.0,26,20
65796586,50.0,F,2.0,26,20
65796587,20.0,F,1.0,23,8
65796587,20.0,M,1.0,23,8
65796587,20.0,M,1.0,23,8
65796589,20.0,M,2.0,40,13
65796589,16.0,M,2.0,40,13
65796589,18.0,M,2.0,40,13
65796589,17.0,M,2.0,40,13
65796590,50.0,M,1.0,45,23
65796591,34.0,M,1.0,51,20
65796593,-1.0,M,2.0,45,23
65796595,20.0,M,2.0,27,13
65796596,-1.0,M,0.0,5,20
65796597,35.0,M,2.0,51,20
65796599,44.0,M,1.0,51,20
65796600,51.0,F,2.0,51,20
65796601,-1.0,U,0.0,5,20
65796602,32.0,M,2.0,27,20
65796603,47.0,M,1.0,51,20
65796604,19.0,M,2.0,51,20
65796605,21.0,M,1.0,51,21
65796606,39.0,M,1.0,51,20
65796607,18.0,F,1.0,51,20
65796607,18.0,F,1.0,51,20
65796608,35.0,F,2.0,51,20
65796609,19.0,F,1.0,5,20
65796611,-1.0,U,0.0,49,20
65796611,-1.0,U,0.0,5,20
65796612,53.0,M,2.0,16,20
65796612,53.0,M,2.0,35,20
65796613,34.0,M,1.0,49,24
65796613,34.0,M,1.0,5,24
65796614,47.0,M,1.0,45,20
65796616,35.0,M,1.0,45,23
65796620,16.0,M,1.0,45,20
65796620,16.0,M,1.0,16,20
65796622,16.0,F,1.0,23,8
65796622,16.0,F,1.0,23,8
65796623,70.0,M,2.0,45,7
65796623,16.0,M,1.0,45,7
65796623,10.0,M,1.0,45,7
65796624,-1.0,M,0.0,45,23
65796625,26.0,F,1.0,51,20
65796625,-1.0,F,0.0,51,20
65796625,26.0,F,0.0,51,20
65796626,34.0,F,1.0,35,23
65796628,55.0,M,2.0,23,8
65796629,28.0,M,1.0,44,20
65796630,30.0,M,2.0,23,8
65796630,30.0,M,2.0,23,8
65796631,19.0,M,2.0,51,20
65796632,34.0,M,1.0,16,13
65796633,39.0,M,1.0,29,20
65796633,39.0,M,1.0,51,20
65796634,-1.0,U,0.0,21,20
65796634,-1.0,U,0.0,5,13
65796635,22.0,M,2.0,49,20
65796635,22.0,M,2.0,5,20
65796636,46.0,M,1.0,36,20
65796637,31.0,M,2.0,51,20
65796638,-1.0,M,2.0,40,13
65796638,27.0,M,1.0,40,13
65796639,-1.0,M,0.0,14,18
65796639,-1.0,M,0.0,5,18
65796640,21.0,M,2.0,51,20
65796641,15.0,M,1.0,51,22
65796642,26.0,M,1.0,45,25
65796642,48.0,M,1.0,45,25
65796643,38.0,M,2.0,16,20
65796643,30.0,M,2.0,16,20
65796644,24.0,M,2.0,51,20
65796644,24.0,M,2.0,5,20
65796646,43.0,F,2.0,5,20
65796647,14.0,M,1.0,5,22
65796648,17.0,M,2.0,49,20
65796649,48.0,M,2.0,23,24
65796649,50.0,M,2.0,23,24
65796651,50.0,M,2.0,23,24
65796651,48.0,M,2.0,23,24
65796652,40.0,M,2.0,45,20
65796653,50.0,M,2.0,21,18
65796656,-1.0,U,0.0,45,13
65796658,46.0,F,2.0,23,12
65796659,-1.0,M,1.0,45,20
65796661,21.0,M,2.0,16,13
65796662,-1.0,M,0.0,49,20
65796662,-1.0,M,0.0,49,20
65796663,22.0,M,2.0,49,25
65796664,48.0,M,1.0,51,20
65796665,30.0,M,2.0,51,20
65796667,17.0,F,5.0,23,8
65796667,16.0,F,1.0,23,8
65796668,-1.0,M,0.0,40,14
65796669,23.0,M,2.0,49,20
65796669,23.0,M,2.0,5,20
65796670,14.0,M,2.0,5,20
65796671,20.0,F,1.0,16,18
65796671,20.0,F,1.0,35,18
65796672,-1.0,M,2.0,21,23
65796673,20.0,F,2.0,5,20
65796674,25.0,M,2.0,51,20
65796674,25.0,M,2.0,49,20
65796674,25.0,M,2.0,5,20
65796674,25.0,M,2.0,51,20
65796674,25.0,M,2.0,49,20
65796674,25.0,M,2.0,5,20
65796674,25.0,M,2.0,51,20
65796674,25.0,M,2.0,49,20
65796674,25.0,M,2.0,5,20
65796675,22.0,M,2.0,44,20
65796675,22.0,M,2.0,45,20
65796675,22.0,M,2.0,5,20
65796675,20.0,M,2.0,44,20
65796675,20.0,M,2.0,45,20
65796675,20.0,M,2.0,5,20
65796675,27.0,M,2.0,44,20
65796675,27.0,M,2.0,45,20
65796675,27.0,M,2.0,5,20
65796676,23.0,M,2.0,27,20
65796676,23.0,M,2.0,27,20
65796676,23.0,M,2.0,27,20
65796676,23.0,M,2.0,27,20
65796679,18.0,M,1.0,23,8
65796679,37.0,M,1.0,23,8
65796680,28.0,M,2.0,51,20
65796681,-1.0,U,0.0,46,25
65796682,-1.0,U,0.0,49,20
65796682,-1.0,U,0.0,5,20
65796683,38.0,M,2.0,16,20
65796684,-1.0,U,0.0,45,20
65796685,15.0,F,2.0,51,22
65796685,15.0,F,2.0,51,22
65796686,69.0,F,1.0,23,8
65796687,65.0,M,1.0,45,23
65796690,20.0,M,1.0,49,20
