offender_id,incident_id,offender_seq_num,age_id,age_num,sex_code,race_id,ethnicity_id,ff_line_number,age_range_low_num,age_range_high_num
74157801,65838428,1,4,,U,0,,,,
74144770,65827786,0,,,,,,,,
74109851,65797673,1,5,37,F,2,,,,
74109852,65797674,1,5,40,F,1,,,,
74109853,65797675,1,5,32,M,1,,,,
74109854,65797676,1,5,24,M,2,,,,
74109856,65797677,2,5,34,M,1,,,,
74109855,65797677,1,5,20,M,1,,,,
74109857,65797678,0,,,,,,,,
74109858,65797679,1,5,37,F,2,,,,
74109859,65797680,1,5,28,F,2,,,,
74109860,65797680,2,5,26,M,2,,,,
74109861,65797681,0,,,,,,,,
74109862,65797682,1,5,17,F,2,,,,
74109863,65797683,1,5,13,M,1,,,,
74109864,65797684,1,4,,U,0,,,,
74109865,65797685,0,,,,,,,,
74109866,65797686,0,,,,,,,,
74109867,65797687,1,5,37,M,2,,,,
74109868,65797688,0,,,,,,,,
74109871,65797689,3,5,20,M,1,,,,
74109870,65797689,2,5,26,F,1,,,,
74109869,65797689,1,5,40,M,1,,,,
74109872,65797690,1,5,37,F,2,,,,
74109873,65797691,0,,,,,,,,
74109874,65797692,1,5,7,M,2,,,,
74109875,65797693,0,,,,,,,,
74109876,65797694,1,5,43,M,2,,,,
74109878,65797695,2,5,42,M,1,,,,
74109877,65797695,1,5,38,F,1,,,,
74109879,65797696,1,5,84,M,1,,,,
74109880,65797697,1,5,14,M,1,,,,
74109881,65797698,0,,,,,,,,
74109882,65797699,0,,,,,,,,
74109883,65797700,1,5,40,F,2,,,,
74109885,65797701,2,4,,U,0,,,,
74109884,65797701,1,4,,U,0,,,,
74109886,65797702,1,5,30,M,1,,,,
74109887,65797703,1,4,,U,0,,,,
74109888,65797704,1,5,20,M,1,,,,
74109889,65797705,1,5,19,F,2,,,,
74109890,65797706,1,5,19,M,2,,,,
74109891,65797707,0,,,,,,,,
74109892,65797708,1,5,43,M,1,,,,
74109893,65797709,1,5,25,M,1,,,,
74109894,65797710,1,5,27,F,1,,,,
74109895,65797710,2,5,30,M,2,,,,
74109896,65797711,0,,,,,,,,
74109898,65797712,2,5,23,M,1,,,,
74109897,65797712,1,5,31,M,1,,,,
74109899,65797713,1,5,34,M,2,,,,
74109900,65797714,1,5,25,M,1,,,,
74109901,65797715,1,5,15,M,0,,,,
74109902,65797716,1,5,14,F,2,,,,
74109903,65797717,0,,,,,,,,
74109904,65797718,1,5,36,M,2,,,,
74109905,65797720,1,5,26,M,1,,,,
74109906,65797721,1,5,27,M,1,,,,
74109907,65797722,1,5,27,M,2,,,,
74109908,65797723,1,5,34,M,1,,,,
74109909,65797724,1,5,32,F,1,,,,
74109910,65797725,1,5,23,M,2,,,,
74109912,65797726,2,5,40,F,2,,,,
74109911,65797726,1,5,48,F,2,,,,
74109914,65797727,2,4,,U,0,,,,
74109913,65797727,1,4,,U,0,,,,
74109915,65797728,1,5,32,M,2,,,,
74109916,65797729,1,5,22,M,2,,,,
74109917,65797730,1,5,17,M,2,,,,
74109918,65797731,1,5,20,M,1,,,,
74109919,65797732,1,5,35,M,1,,,,
74109920,65797733,0,,,,,,,,
74109921,65797734,1,5,29,M,1,,,,
74109922,65797735,1,5,32,M,2,,,,
74109924,65797736,2,4,,M,1,,,,
74109923,65797736,1,4,,M,1,,,,
