offense_id,incident_id,offense_type_id,attempt_complete_flag,location_id,num_premises_entered,method_entry_code,ff_line_number
46650349,46475772,45,C,20,,,
46650350,46475772,11,C,25,,,
46651141,46475882,49,C,19,1,F,
46651142,46475882,39,A,20,,,
46763178,46558533,45,C,14,,,
46761810,46558541,46,C,20,,,
46650096,46478663,2,C,20,,,
46682817,46496305,29,C,20,,,
46675193,46496306,29,C,20,,,
46678934,46496307,29,C,20,,,
46650109,46478723,45,C,20,,,
46658685,46477737,2,C,20,,,
46655415,46482542,45,C,25,,,
46658493,46482548,46,C,5,,,
46649329,46477779,45,C,20,,,
46621269,46451508,5,C,20,,,
46613872,46451520,51,C,20,,,
46613873,46451520,5,C,20,,,
46621649,46451537,16,C,13,,,
46621651,46452439,51,C,20,,,
46613874,46452509,45,C,23,,,
46621645,46451395,51,C,22,,,
46624955,46451397,45,C,19,,,
46624956,46451397,21,C,19,,,
46624957,46451399,2,C,20,,,
46613862,46451400,49,C,20,0,N,
46621268,46451406,27,C,11,,,
46625569,46451408,45,C,23,,,
46621650,46452386,51,C,20,,,
46620887,46452398,49,C,20,0,F,
46620888,46452398,5,C,20,,,
46620889,46452398,39,C,18,,,
46620891,46452412,51,C,20,,,
46624963,46452485,46,C,25,,,
46800766,46579758,5,C,20,,,
46668139,46485557,45,C,20,,,
46668140,46485557,41,C,20,,,
46667035,46489363,36,C,20,,,
46767685,46556539,46,C,20,,,
46748483,46547793,56,C,20,,,
46667094,46491368,46,C,20,,,
46637603,46465081,11,C,2,,,
46636707,46465103,45,C,25,,,
46636708,46465103,11,C,20,,,
46632888,46465142,49,C,24,0,N,
46632889,46465142,23,C,24,,,
46632841,46464050,7,C,20,,,
46636672,46464097,41,C,20,,,
46631772,46464118,46,C,20,,,
46640939,46464154,2,C,20,,,
46679524,46498165,45,C,20,,,
46653293,46469954,49,C,19,1,F,
46653294,46469954,5,C,19,,,
46641536,46465143,21,C,20,,,
46637477,46465152,49,C,20,0,F,
46637478,46465152,5,C,20,,,
46629818,46465155,44,C,20,,,
46632861,46464195,21,C,18,,,
46660925,46484645,11,C,12,,,
46697811,46513747,46,C,20,,,
46705797,46513831,46,C,20,,,
46639716,46469990,49,C,20,0,N,
46639671,46468926,46,C,20,,,
46643001,46468986,45,C,2,,,
46643002,46468986,11,C,2,,,
46678948,46497209,56,C,20,,,
46705802,46513859,45,C,21,,,
46705803,46513859,46,C,21,,,
46692059,46512799,46,C,20,,,
46642222,46467966,45,C,5,,,
46640743,46467986,21,C,25,,,
46640548,46472848,36,C,20,,,
46642385,46468103,46,C,20,,,
46613875,46453352,16,C,20,,,
46621652,46453353,16,C,20,,,
46613876,46453369,49,C,20,0,N,
46622464,46453374,7,C,20,,,
46624968,46453383,51,C,3,,,
46622467,46453384,32,C,3,,,
46622468,46453384,39,C,3,,,
46622469,46453385,51,C,20,,,
46621276,46453386,51,C,20,,,
46613878,46453389,5,C,13,,,
46624969,46453390,5,C,20,,,
46621278,46453391,51,C,14,,,
46621279,46453391,5,C,14,,,
46624970,46453392,51,C,3,,,
46625573,46453393,51,C,20,,,
46613879,46453394,51,C,20,,,
46624971,46453395,51,C,20,,,
46621653,46453396,51,C,20,,,
46621280,46453397,51,C,20,,,
46624972,46453398,32,C,13,,,
46624973,46453399,51,C,21,,,
46624974,46453399,44,C,21,,,
46613880,46453400,51,C,20,,,
46622470,46453401,45,C,21,,,
46624975,46453402,45,C,23,,,
46621281,46453403,51,C,20,,,
46624976,46453404,51,C,20,,,
46621282,46453405,45,C,23,,,
46621283,46453406,51,C,20,,,
46613881,46453407,51,C,20,,,
46622471,46453408,29,C,20,,,
46622472,46453408,27,C,20,,,
46625574,46453409,28,C,13,,,
46625575,46453409,16,C,13,,,
46621284,46453411,27,C,20,,,
46624977,46453412,51,C,20,,,
46621654,46453413,40,C,13,,,
46622473,46453414,23,C,8,,,
46624978,46453415,51,C,12,,,
46624979,46453415,23,C,12,,,
46624980,46453415,5,C,12,,,
46613882,46453416,51,C,3,,,
46625576,46453417,23,C,8,,,
46613883,46453418,45,C,25,,,
46622474,46453419,44,C,20,,,
46625577,46453420,51,C,20,,,
46621285,46453421,5,C,20,,,
46625578,46453422,23,C,8,,,
46621286,46453423,51,C,20,,,
46621287,46453424,49,C,20,0,F,
46621288,46453424,5,C,20,,,
46621289,46453425,51,C,13,,,
46613884,46453426,51,C,20,,,
46613886,46453428,45,C,20,,,
46625579,46453429,45,C,20,,,
46613887,46453430,45,C,20,,,
46625580,46453431,45,C,23,,,
46625581,46453432,45,C,23,,,
46613888,46453433,45,C,20,,,
46621290,46453436,51,C,18,,,
46624981,46453437,11,C,23,,,
46625582,46453438,16,C,13,,,
46621655,46453440,45,C,25,,,
46620895,46453441,21,C,20,,,
46621291,46453442,11,C,2,,,
46621292,46453442,28,C,2,,,
46613889,46453443,51,C,20,,,
46613892,46453452,23,C,8,,,
46621658,46453453,23,C,12,,,
46625584,46453454,5,C,20,,,
46621659,46453455,21,C,13,,,
46621660,46453455,5,C,13,,,
46624982,46453456,49,C,24,0,F,
46624983,46453456,5,C,24,,,
46622477,46453457,51,C,20,,,
46622478,46453458,49,C,20,0,F,
46622479,46453458,5,C,20,,,
46613893,46453459,49,C,18,0,N,
46622480,46453460,11,C,7,,,
46621293,46453461,49,C,20,0,F,
46624984,46453462,49,C,20,0,F,
46624985,46453462,5,C,20,,,
46622481,46453463,5,C,20,,,
46624986,46453464,40,C,13,,,
46613894,46453465,45,C,23,,,
46625585,46453466,35,C,46,,,
46624987,46453467,45,C,21,,,
46620899,46453469,35,C,22,,,
46621661,46453470,49,A,20,0,F,
46621662,46453470,5,C,20,,,
46620900,46453471,45,C,20,,,
46621294,46453472,5,C,20,,,
46625586,46453473,51,C,13,,,
46621295,46453474,27,C,13,,,
46621296,46453474,51,C,13,,,
46621297,46453474,39,C,13,,,
46624988,46453475,11,C,12,,,
46621663,46453476,36,C,20,,,
46613895,46453477,21,C,13,,,
46625587,46453478,21,C,20,,,
46622482,46453479,45,C,23,,,
46621298,46453480,45,C,20,,,
46653393,46472930,46,A,20,,,
46640566,46472932,45,C,20,,,
46646403,46471966,49,C,20,0,F,
46640487,46470949,49,C,20,0,N,
46646374,46471013,45,C,25,,,
46683605,46500112,46,C,20,,,
46620896,46453444,49,C,20,0,F,
46620897,46453444,5,C,20,,,
46625583,46453445,40,C,18,,,
46613890,46453446,27,C,20,,,
46621656,46453447,16,C,13,,,
46613891,46453448,14,C,20,,,
46620898,46453449,51,C,13,,,
46622475,46453450,51,C,20,,,
46622476,46453450,45,C,20,,,
46621657,46453451,5,C,20,,,
46625588,46453481,49,C,20,0,F,
46625589,46453481,5,C,20,,,
46622483,46453482,45,C,23,,,
46621299,46453483,49,A,20,0,N,
46621300,46453483,5,C,20,,,
46624989,46453484,45,C,25,,,
46613896,46453485,23,C,8,,,
46621301,46453486,14,C,13,,,
46621302,46453487,27,C,20,,,
46621303,46453487,5,C,20,,,
46620901,46453488,16,C,13,,,
46621304,46453489,20,C,20,,,
46621664,46453490,16,C,11,,,
46622484,46453491,51,C,13,,,
46625590,46453492,30,C,13,,,
46621665,46453493,30,C,13,,,
46621666,46453494,49,C,25,0,F,
46621667,46453494,5,C,25,,,
46621305,46453495,45,C,23,,,
46624990,46453496,49,C,5,0,F,
46624991,46453496,5,C,5,,,
46649687,46473907,11,C,20,,,
46685895,46499089,45,C,2,,,
46703683,46517718,56,C,20,,,
46632775,46457374,44,C,13,,,
46622170,46457375,49,C,20,0,F,
46622171,46457375,5,C,20,,,
46631240,46457376,14,C,20,,,
46631241,46457376,5,C,20,,,
46622172,46457377,27,C,18,,,
46622173,46457377,5,C,18,,,
46621775,46457378,5,C,20,,,
46628849,46457379,5,C,18,,,
46628850,46457380,51,C,20,,,
46631242,46457381,49,C,3,0,F,
